type,name,value,actual_value
dribbleWonPerGame,"Wayne Rooney, Forward",70.83,0.65
foulGivenPerGame,"Wayne Rooney, Forward",33.33,0.41
offsideGivenPerGame,"Wayne Rooney, Forward",79.17,0.24
dispossessedPerGame,"Wayne Rooney, Forward",91.67,1.53
turnoverPerGame,"Wayne Rooney, Forward",66.67,0.82
offensive_rating,"Wayne Rooney, Forward",45.83,6.82
totalPassesPerGame,"Wayne Rooney, Forward",41.67,29.41
accurateCrossesPerGame,"Wayne Rooney, Forward",95.83,1.35
accurateLongPassPerGame,"Wayne Rooney, Forward",66.67,2.35
accurateThroughBallPerGame,"Wayne Rooney, Forward",70.83,0.0
passing_rating,"Wayne Rooney, Forward",45.83,6.82
shotSixYardBox,"Wayne Rooney, Forward",95.83,0.24
shotPenaltyArea,"Wayne Rooney, Forward",70.83,0.71
shotOboxTotal,"Wayne Rooney, Forward",83.33,0.71
shotsTotal,"Wayne Rooney, Forward",83.33,1.65
detailed_rating,"Wayne Rooney, Forward",45.83,6.82
goal,"Michael Carrick, Midfielder",62.5,0.0
assistTotal,"Michael Carrick, Midfielder",50.0,0.0
shotsPerGame,"Michael Carrick, Midfielder",41.67,0.27
aerialWonPerGame,"Michael Carrick, Midfielder",45.83,0.55
manOfTheMatch,"Michael Carrick, Midfielder",75.0,0.0
passSuccess,"Michael Carrick, Midfielder",100.0,90.63
all_rating,"Michael Carrick, Midfielder",41.67,6.82
goalOwn,"Michael Carrick, Midfielder",95.83,0.0
tacklePerGame,"Michael Carrick, Midfielder",54.17,1.18
interceptionPerGame,"Michael Carrick, Midfielder",87.5,2.27
foulsPerGame,"Michael Carrick, Midfielder",16.67,0.18
offsideWonPerGame,"Michael Carrick, Midfielder",70.83,0.09
clearancePerGame,"Michael Carrick, Midfielder",58.33,1.82
wasDribbledPerGame,"Michael Carrick, Midfielder",83.33,1.0
outfielderBlockPerGame,"Michael Carrick, Midfielder",91.67,0.36
defensive_rating,"Michael Carrick, Midfielder",41.67,6.82
keyPassPerGame,"Michael Carrick, Midfielder",37.5,0.27
dribbleWonPerGame,"Michael Carrick, Midfielder",29.17,0.18
foulGivenPerGame,"Michael Carrick, Midfielder",91.67,1.18
offsideGivenPerGame,"Michael Carrick, Midfielder",41.67,0.0
dispossessedPerGame,"Michael Carrick, Midfielder",29.17,0.09
turnoverPerGame,"Michael Carrick, Midfielder",33.33,0.27
offensive_rating,"Michael Carrick, Midfielder",41.67,6.82
totalPassesPerGame,"Michael Carrick, Midfielder",91.67,61.09
accurateCrossesPerGame,"Michael Carrick, Midfielder",41.67,0.0
accurateLongPassPerGame,"Michael Carrick, Midfielder",87.5,3.73
accurateThroughBallPerGame,"Michael Carrick, Midfielder",70.83,0.0
passing_rating,"Michael Carrick, Midfielder",41.67,6.82
shotSixYardBox,"Michael Carrick, Midfielder",62.5,0.0
shotPenaltyArea,"Michael Carrick, Midfielder",20.83,0.0
shotOboxTotal,"Michael Carrick, Midfielder",62.5,0.27
shotsTotal,"Michael Carrick, Midfielder",41.67,0.27
detailed_rating,"Michael Carrick, Midfielder",41.67,6.82
goal,"Marouane Fellaini, Midfielder",62.5,0.0
assistTotal,"Marouane Fellaini, Midfielder",50.0,0.0
shotsPerGame,"Marouane Fellaini, Midfielder",62.5,0.68
aerialWonPerGame,"Marouane Fellaini, Midfielder",95.83,3.11
manOfTheMatch,"Marouane Fellaini, Midfielder",75.0,0.0
passSuccess,"Marouane Fellaini, Midfielder",79.17,88.46
all_rating,"Marouane Fellaini, Midfielder",37.5,6.78
goalOwn,"Marouane Fellaini, Midfielder",95.83,0.0
tacklePerGame,"Marouane Fellaini, Midfielder",66.67,1.63
interceptionPerGame,"Marouane Fellaini, Midfielder",50.0,0.89
foulsPerGame,"Marouane Fellaini, Midfielder",83.33,1.16
offsideWonPerGame,"Marouane Fellaini, Midfielder",62.5,0.0
clearancePerGame,"Marouane Fellaini, Midfielder",54.17,1.63
wasDribbledPerGame,"Marouane Fellaini, Midfielder",91.67,1.16
outfielderBlockPerGame,"Marouane Fellaini, Midfielder",66.67,0.26
defensive_rating,"Marouane Fellaini, Midfielder",37.5,6.78
keyPassPerGame,"Marouane Fellaini, Midfielder",50.0,0.42
dribbleWonPerGame,"Marouane Fellaini, Midfielder",54.17,0.58
foulGivenPerGame,"Marouane Fellaini, Midfielder",37.5,0.47
offsideGivenPerGame,"Marouane Fellaini, Midfielder",66.67,0.16
dispossessedPerGame,"Marouane Fellaini, Midfielder",41.67,0.47
turnoverPerGame,"Marouane Fellaini, Midfielder",54.17,0.79
offensive_rating,"Marouane Fellaini, Midfielder",37.5,6.78
totalPassesPerGame,"Marouane Fellaini, Midfielder",50.0,32.37
accurateCrossesPerGame,"Marouane Fellaini, Midfielder",41.67,0.0
accurateLongPassPerGame,"Marouane Fellaini, Midfielder",37.5,0.89
accurateThroughBallPerGame,"Marouane Fellaini, Midfielder",70.83,0.0
passing_rating,"Marouane Fellaini, Midfielder",37.5,6.78
shotSixYardBox,"Marouane Fellaini, Midfielder",70.83,0.05
shotPenaltyArea,"Marouane Fellaini, Midfielder",66.67,0.47
shotOboxTotal,"Marouane Fellaini, Midfielder",50.0,0.16
shotsTotal,"Marouane Fellaini, Midfielder",62.5,0.68
detailed_rating,"Marouane Fellaini, Midfielder",37.5,6.78
goal,"Chris Smalling, Defender",70.83,1.0
assistTotal,"Chris Smalling, Defender",62.5,1.0
shotsPerGame,"Chris Smalling, Defender",50.0,0.43
aerialWonPerGame,"Chris Smalling, Defender",83.33,2.64
manOfTheMatch,"Chris Smalling, Defender",75.0,0.0
passSuccess,"Chris Smalling, Defender",91.67,89.92
all_rating,"Chris Smalling, Defender",33.33,6.71
goalOwn,"Chris Smalling, Defender",95.83,0.0
tacklePerGame,"Chris Smalling, Defender",29.17,0.64
interceptionPerGame,"Chris Smalling, Defender",45.83,0.57
foulsPerGame,"Chris Smalling, Defender",41.67,0.5
offsideWonPerGame,"Chris Smalling, Defender",87.5,0.21
clearancePerGame,"Chris Smalling, Defender",91.67,6.43
wasDribbledPerGame,"Chris Smalling, Defender",33.33,0.21
outfielderBlockPerGame,"Chris Smalling, Defender",87.5,0.36
defensive_rating,"Chris Smalling, Defender",33.33,6.71
keyPassPerGame,"Chris Smalling, Defender",25.0,0.14
dribbleWonPerGame,"Chris Smalling, Defender",20.83,0.0
foulGivenPerGame,"Chris Smalling, Defender",29.17,0.36
offsideGivenPerGame,"Chris Smalling, Defender",45.83,0.07
dispossessedPerGame,"Chris Smalling, Defender",20.83,0.07
turnoverPerGame,"Chris Smalling, Defender",16.67,0.07
offensive_rating,"Chris Smalling, Defender",33.33,6.71
totalPassesPerGame,"Chris Smalling, Defender",29.17,25.5
accurateCrossesPerGame,"Chris Smalling, Defender",41.67,0.0
accurateLongPassPerGame,"Chris Smalling, Defender",45.83,1.14
accurateThroughBallPerGame,"Chris Smalling, Defender",70.83,0.0
passing_rating,"Chris Smalling, Defender",33.33,6.71
shotSixYardBox,"Chris Smalling, Defender",62.5,0.0
shotPenaltyArea,"Chris Smalling, Defender",62.5,0.43
shotOboxTotal,"Chris Smalling, Defender",29.17,0.0
shotsTotal,"Chris Smalling, Defender",50.0,0.43
detailed_rating,"Chris Smalling, Defender",33.33,6.71
goal,"Jesse Lingard, Midfielder",62.5,0.0
assistTotal,"Jesse Lingard, Midfielder",79.17,2.0
shotsPerGame,"Jesse Lingard, Midfielder",75.0,1.54
aerialWonPerGame,"Jesse Lingard, Midfielder",29.17,0.23
manOfTheMatch,"Jesse Lingard, Midfielder",75.0,0.0
passSuccess,"Jesse Lingard, Midfielder",83.33,89.49
all_rating,"Jesse Lingard, Midfielder",29.17,6.68
goalOwn,"Jesse Lingard, Midfielder",95.83,0.0
tacklePerGame,"Jesse Lingard, Midfielder",37.5,0.77
interceptionPerGame,"Jesse Lingard, Midfielder",41.67,0.54
foulsPerGame,"Jesse Lingard, Midfielder",58.33,0.92
offsideWonPerGame,"Jesse Lingard, Midfielder",62.5,0.0
clearancePerGame,"Jesse Lingard, Midfielder",37.5,0.31
wasDribbledPerGame,"Jesse Lingard, Midfielder",37.5,0.23
outfielderBlockPerGame,"Jesse Lingard, Midfielder",45.83,0.08
defensive_rating,"Jesse Lingard, Midfielder",29.17,6.68
keyPassPerGame,"Jesse Lingard, Midfielder",83.33,1.54
dribbleWonPerGame,"Jesse Lingard, Midfielder",45.83,0.38
foulGivenPerGame,"Jesse Lingard, Midfielder",16.67,0.23
offsideGivenPerGame,"Jesse Lingard, Midfielder",62.5,0.15
dispossessedPerGame,"Jesse Lingard, Midfielder",75.0,0.85
turnoverPerGame,"Jesse Lingard, Midfielder",70.83,0.92
offensive_rating,"Jesse Lingard, Midfielder",29.17,6.68
totalPassesPerGame,"Jesse Lingard, Midfielder",37.5,27.08
accurateCrossesPerGame,"Jesse Lingard, Midfielder",62.5,0.38
accurateLongPassPerGame,"Jesse Lingard, Midfielder",25.0,0.23
accurateThroughBallPerGame,"Jesse Lingard, Midfielder",79.17,0.08
passing_rating,"Jesse Lingard, Midfielder",29.17,6.68
shotSixYardBox,"Jesse Lingard, Midfielder",91.67,0.23
shotPenaltyArea,"Jesse Lingard, Midfielder",75.0,0.77
shotOboxTotal,"Jesse Lingard, Midfielder",75.0,0.54
shotsTotal,"Jesse Lingard, Midfielder",75.0,1.54
detailed_rating,"Jesse Lingard, Midfielder",29.17,6.68
goal,"Ashley Young, Midfielder",62.5,0.0
assistTotal,"Ashley Young, Midfielder",50.0,0.0
shotsPerGame,"Ashley Young, Midfielder",29.17,0.2
aerialWonPerGame,"Ashley Young, Midfielder",37.5,0.4
manOfTheMatch,"Ashley Young, Midfielder",75.0,0.0
passSuccess,"Ashley Young, Midfielder",50.0,85.61
all_rating,"Ashley Young, Midfielder",25.0,6.59
goalOwn,"Ashley Young, Midfielder",95.83,0.0
tacklePerGame,"Ashley Young, Midfielder",83.33,2.0
interceptionPerGame,"Ashley Young, Midfielder",62.5,1.4
foulsPerGame,"Ashley Young, Midfielder",20.83,0.2
offsideWonPerGame,"Ashley Young, Midfielder",62.5,0.0
clearancePerGame,"Ashley Young, Midfielder",66.67,2.0
wasDribbledPerGame,"Ashley Young, Midfielder",20.83,0.0
outfielderBlockPerGame,"Ashley Young, Midfielder",33.33,0.0
defensive_rating,"Ashley Young, Midfielder",25.0,6.59
keyPassPerGame,"Ashley Young, Midfielder",45.83,0.4
dribbleWonPerGame,"Ashley Young, Midfielder",37.5,0.2
foulGivenPerGame,"Ashley Young, Midfielder",66.67,0.8
offsideGivenPerGame,"Ashley Young, Midfielder",70.83,0.2
dispossessedPerGame,"Ashley Young, Midfielder",66.67,0.6
turnoverPerGame,"Ashley Young, Midfielder",79.17,1.0
offensive_rating,"Ashley Young, Midfielder",25.0,6.59
totalPassesPerGame,"Ashley Young, Midfielder",33.33,26.4
accurateCrossesPerGame,"Ashley Young, Midfielder",41.67,0.0
accurateLongPassPerGame,"Ashley Young, Midfielder",20.83,0.2
accurateThroughBallPerGame,"Ashley Young, Midfielder",70.83,0.0
passing_rating,"Ashley Young, Midfielder",25.0,6.59
shotSixYardBox,"Ashley Young, Midfielder",62.5,0.0
shotPenaltyArea,"Ashley Young, Midfielder",50.0,0.2
shotOboxTotal,"Ashley Young, Midfielder",29.17,0.0
shotsTotal,"Ashley Young, Midfielder",29.17,0.2
detailed_rating,"Ashley Young, Midfielder",25.0,6.59
goal,"David de Gea, Goalkeeper",62.5,0.0
assistTotal,"David de Gea, Goalkeeper",50.0,0.0
shotsPerGame,"David de Gea, Goalkeeper",16.67,0.0
aerialWonPerGame,"David de Gea, Goalkeeper",16.67,0.04
manOfTheMatch,"David de Gea, Goalkeeper",75.0,0.0
passSuccess,"David de Gea, Goalkeeper",8.33,61.63
all_rating,"David de Gea, Goalkeeper",20.83,6.57
goalOwn,"David de Gea, Goalkeeper",95.83,0.0
tacklePerGame,"David de Gea, Goalkeeper",8.33,0.0
interceptionPerGame,"David de Gea, Goalkeeper",12.5,0.0
foulsPerGame,"David de Gea, Goalkeeper",12.5,0.0
offsideWonPerGame,"David de Gea, Goalkeeper",62.5,0.0
clearancePerGame,"David de Gea, Goalkeeper",29.17,0.28
wasDribbledPerGame,"David de Gea, Goalkeeper",25.0,0.04
outfielderBlockPerGame,"David de Gea, Goalkeeper",33.33,0.0
defensive_rating,"David de Gea, Goalkeeper",20.83,6.57
keyPassPerGame,"David de Gea, Goalkeeper",16.67,0.0
dribbleWonPerGame,"David de Gea, Goalkeeper",20.83,0.0
foulGivenPerGame,"David de Gea, Goalkeeper",12.5,0.08
offsideGivenPerGame,"David de Gea, Goalkeeper",41.67,0.0
dispossessedPerGame,"David de Gea, Goalkeeper",16.67,0.0
turnoverPerGame,"David de Gea, Goalkeeper",12.5,0.0
offensive_rating,"David de Gea, Goalkeeper",20.83,6.57
totalPassesPerGame,"David de Gea, Goalkeeper",25.0,23.04
accurateCrossesPerGame,"David de Gea, Goalkeeper",41.67,0.0
accurateLongPassPerGame,"David de Gea, Goalkeeper",100.0,9.24
accurateThroughBallPerGame,"David de Gea, Goalkeeper",70.83,0.0
passing_rating,"David de Gea, Goalkeeper",20.83,6.57
shotSixYardBox,"David de Gea, Goalkeeper",62.5,0.0
shotPenaltyArea,"David de Gea, Goalkeeper",20.83,0.0
shotOboxTotal,"David de Gea, Goalkeeper",29.17,0.0
shotsTotal,"David de Gea, Goalkeeper",16.67,0.0
detailed_rating,"David de Gea, Goalkeeper",20.83,6.57
goal,"Marcus Rashford, Forward",87.5,3.0
assistTotal,"Marcus Rashford, Forward",62.5,1.0
shotsPerGame,"Marcus Rashford, Forward",66.67,1.25
aerialWonPerGame,"Marcus Rashford, Forward",25.0,0.15
manOfTheMatch,"Marcus Rashford, Forward",75.0,0.0
passSuccess,"Marcus Rashford, Forward",20.83,79.74
all_rating,"Marcus Rashford, Forward",16.67,6.52
goalOwn,"Marcus Rashford, Forward",95.83,0.0
tacklePerGame,"Marcus Rashford, Forward",20.83,0.4
interceptionPerGame,"Marcus Rashford, Forward",33.33,0.5
foulsPerGame,"Marcus Rashford, Forward",29.17,0.35
offsideWonPerGame,"Marcus Rashford, Forward",62.5,0.0
clearancePerGame,"Marcus Rashford, Forward",25.0,0.25
wasDribbledPerGame,"Marcus Rashford, Forward",45.83,0.35
outfielderBlockPerGame,"Marcus Rashford, Forward",33.33,0.0
defensive_rating,"Marcus Rashford, Forward",16.67,6.52
keyPassPerGame,"Marcus Rashford, Forward",58.33,0.7
dribbleWonPerGame,"Marcus Rashford, Forward",75.0,0.9
foulGivenPerGame,"Marcus Rashford, Forward",83.33,0.95
offsideGivenPerGame,"Marcus Rashford, Forward",58.33,0.15
dispossessedPerGame,"Marcus Rashford, Forward",79.17,0.85
turnoverPerGame,"Marcus Rashford, Forward",83.33,1.3
offensive_rating,"Marcus Rashford, Forward",16.67,6.52
totalPassesPerGame,"Marcus Rashford, Forward",16.67,19.0
accurateCrossesPerGame,"Marcus Rashford, Forward",58.33,0.35
accurateLongPassPerGame,"Marcus Rashford, Forward",20.83,0.2
accurateThroughBallPerGame,"Marcus Rashford, Forward",70.83,0.0
passing_rating,"Marcus Rashford, Forward",16.67,6.52
shotSixYardBox,"Marcus Rashford, Forward",87.5,0.15
shotPenaltyArea,"Marcus Rashford, Forward",83.33,0.95
shotOboxTotal,"Marcus Rashford, Forward",45.83,0.15
shotsTotal,"Marcus Rashford, Forward",66.67,1.25
detailed_rating,"Marcus Rashford, Forward",16.67,6.52
goal,"Morgan Schneiderlin, Midfielder",62.5,0.0
assistTotal,"Morgan Schneiderlin, Midfielder",50.0,0.0
shotsPerGame,"Morgan Schneiderlin, Midfielder",16.67,0.0
aerialWonPerGame,"Morgan Schneiderlin, Midfielder",12.5,0.0
manOfTheMatch,"Morgan Schneiderlin, Midfielder",75.0,0.0
passSuccess,"Morgan Schneiderlin, Midfielder",66.67,86.67
all_rating,"Morgan Schneiderlin, Midfielder",12.5,6.04
goalOwn,"Morgan Schneiderlin, Midfielder",95.83,0.0
tacklePerGame,"Morgan Schneiderlin, Midfielder",16.67,0.33
interceptionPerGame,"Morgan Schneiderlin, Midfielder",20.83,0.33
foulsPerGame,"Morgan Schneiderlin, Midfielder",12.5,0.0
offsideWonPerGame,"Morgan Schneiderlin, Midfielder",62.5,0.0
clearancePerGame,"Morgan Schneiderlin, Midfielder",8.33,0.0
wasDribbledPerGame,"Morgan Schneiderlin, Midfielder",20.83,0.0
outfielderBlockPerGame,"Morgan Schneiderlin, Midfielder",33.33,0.0
defensive_rating,"Morgan Schneiderlin, Midfielder",12.5,6.04
keyPassPerGame,"Morgan Schneiderlin, Midfielder",16.67,0.0
dribbleWonPerGame,"Morgan Schneiderlin, Midfielder",20.83,0.0
foulGivenPerGame,"Morgan Schneiderlin, Midfielder",25.0,0.33
offsideGivenPerGame,"Morgan Schneiderlin, Midfielder",41.67,0.0
dispossessedPerGame,"Morgan Schneiderlin, Midfielder",16.67,0.0
turnoverPerGame,"Morgan Schneiderlin, Midfielder",12.5,0.0
offensive_rating,"Morgan Schneiderlin, Midfielder",12.5,6.04
totalPassesPerGame,"Morgan Schneiderlin, Midfielder",12.5,5.0
accurateCrossesPerGame,"Morgan Schneiderlin, Midfielder",41.67,0.0
accurateLongPassPerGame,"Morgan Schneiderlin, Midfielder",12.5,0.0
accurateThroughBallPerGame,"Morgan Schneiderlin, Midfielder",70.83,0.0
passing_rating,"Morgan Schneiderlin, Midfielder",12.5,6.04
shotSixYardBox,"Morgan Schneiderlin, Midfielder",62.5,0.0
shotPenaltyArea,"Morgan Schneiderlin, Midfielder",20.83,0.0
shotOboxTotal,"Morgan Schneiderlin, Midfielder",29.17,0.0
shotsTotal,"Morgan Schneiderlin, Midfielder",16.67,0.0
detailed_rating,"Morgan Schneiderlin, Midfielder",12.5,6.04
goal,"Timothy Fosu-Mensah, Defender",62.5,0.0
assistTotal,"Timothy Fosu-Mensah, Defender",50.0,0.0
shotsPerGame,"Timothy Fosu-Mensah, Defender",16.67,0.0
aerialWonPerGame,"Timothy Fosu-Mensah, Defender",12.5,0.0
manOfTheMatch,"Timothy Fosu-Mensah, Defender",75.0,0.0
passSuccess,"Timothy Fosu-Mensah, Defender",4.17,0.0
all_rating,"Timothy Fosu-Mensah, Defender",8.33,6.0
goalOwn,"Timothy Fosu-Mensah, Defender",95.83,0.0
tacklePerGame,"Timothy Fosu-Mensah, Defender",8.33,0.0
interceptionPerGame,"Timothy Fosu-Mensah, Defender",12.5,0.0
foulsPerGame,"Timothy Fosu-Mensah, Defender",12.5,0.0
offsideWonPerGame,"Timothy Fosu-Mensah, Defender",62.5,0.0
clearancePerGame,"Timothy Fosu-Mensah, Defender",8.33,0.0
wasDribbledPerGame,"Timothy Fosu-Mensah, Defender",20.83,0.0
outfielderBlockPerGame,"Timothy Fosu-Mensah, Defender",33.33,0.0
defensive_rating,"Timothy Fosu-Mensah, Defender",8.33,6.0
keyPassPerGame,"Timothy Fosu-Mensah, Defender",16.67,0.0
dribbleWonPerGame,"Timothy Fosu-Mensah, Defender",20.83,0.0
foulGivenPerGame,"Timothy Fosu-Mensah, Defender",8.33,0.0
offsideGivenPerGame,"Timothy Fosu-Mensah, Defender",41.67,0.0
dispossessedPerGame,"Timothy Fosu-Mensah, Defender",16.67,0.0
turnoverPerGame,"Timothy Fosu-Mensah, Defender",12.5,0.0
offensive_rating,"Timothy Fosu-Mensah, Defender",8.33,6.0
totalPassesPerGame,"Timothy Fosu-Mensah, Defender",4.17,0.0
accurateCrossesPerGame,"Timothy Fosu-Mensah, Defender",41.67,0.0
accurateLongPassPerGame,"Timothy Fosu-Mensah, Defender",12.5,0.0
accurateThroughBallPerGame,"Timothy Fosu-Mensah, Defender",70.83,0.0
passing_rating,"Timothy Fosu-Mensah, Defender",8.33,6.0
shotSixYardBox,"Timothy Fosu-Mensah, Defender",62.5,0.0
shotPenaltyArea,"Timothy Fosu-Mensah, Defender",20.83,0.0
shotOboxTotal,"Timothy Fosu-Mensah, Defender",29.17,0.0
shotsTotal,"Timothy Fosu-Mensah, Defender",16.67,0.0
detailed_rating,"Timothy Fosu-Mensah, Defender",8.33,6.0
goal,"Memphis Depay, Forward",62.5,0.0
assistTotal,"Memphis Depay, Forward",50.0,0.0
shotsPerGame,"Memphis Depay, Forward",16.67,0.0
aerialWonPerGame,"Memphis Depay, Forward",12.5,0.0
manOfTheMatch,"Memphis Depay, Forward",75.0,0.0
passSuccess,"Memphis Depay, Forward",12.5,71.43
all_rating,"Memphis Depay, Forward",4.17,5.95
goalOwn,"Memphis Depay, Forward",95.83,0.0
tacklePerGame,"Memphis Depay, Forward",12.5,0.25
interceptionPerGame,"Memphis Depay, Forward",12.5,0.0
foulsPerGame,"Memphis Depay, Forward",25.0,0.25
offsideWonPerGame,"Memphis Depay, Forward",62.5,0.0
clearancePerGame,"Memphis Depay, Forward",25.0,0.25
wasDribbledPerGame,"Memphis Depay, Forward",20.83,0.0
outfielderBlockPerGame,"Memphis Depay, Forward",33.33,0.0
defensive_rating,"Memphis Depay, Forward",4.17,5.95
keyPassPerGame,"Memphis Depay, Forward",16.67,0.0
dribbleWonPerGame,"Memphis Depay, Forward",20.83,0.0
foulGivenPerGame,"Memphis Depay, Forward",8.33,0.0
offsideGivenPerGame,"Memphis Depay, Forward",83.33,0.25
dispossessedPerGame,"Memphis Depay, Forward",45.83,0.5
turnoverPerGame,"Memphis Depay, Forward",41.67,0.5
offensive_rating,"Memphis Depay, Forward",4.17,5.95
totalPassesPerGame,"Memphis Depay, Forward",8.33,3.5
accurateCrossesPerGame,"Memphis Depay, Forward",41.67,0.0
accurateLongPassPerGame,"Memphis Depay, Forward",12.5,0.0
accurateThroughBallPerGame,"Memphis Depay, Forward",70.83,0.0
passing_rating,"Memphis Depay, Forward",4.17,5.95
shotSixYardBox,"Memphis Depay, Forward",62.5,0.0
shotPenaltyArea,"Memphis Depay, Forward",20.83,0.0
shotOboxTotal,"Memphis Depay, Forward",29.17,0.0
shotsTotal,"Memphis Depay, Forward",16.67,0.0
detailed_rating,"Memphis Depay, Forward",4.17,5.95
