type,name,value,actual_value
foulGivenPerGame,"Ander Herrera, Midfielder",95.83,1.55
offsideGivenPerGame,"Ander Herrera, Midfielder",41.67,0.0
dispossessedPerGame,"Ander Herrera, Midfielder",70.83,0.82
turnoverPerGame,"Ander Herrera, Midfielder",45.83,0.55
offensive_rating,"Ander Herrera, Midfielder",91.67,7.44
totalPassesPerGame,"Ander Herrera, Midfielder",100.0,74.64
accurateCrossesPerGame,"Ander Herrera, Midfielder",83.33,0.73
accurateLongPassPerGame,"Ander Herrera, Midfielder",91.67,4.14
accurateThroughBallPerGame,"Ander Herrera, Midfielder",87.5,0.18
passing_rating,"Ander Herrera, Midfielder",91.67,7.44
shotSixYardBox,"Ander Herrera, Midfielder",62.5,0.0
shotPenaltyArea,"Ander Herrera, Midfielder",45.83,0.18
shotOboxTotal,"Ander Herrera, Midfielder",91.67,1.18
shotsTotal,"Ander Herrera, Midfielder",70.83,1.36
detailed_rating,"Ander Herrera, Midfielder",91.67,7.44
goal,"Phil Jones, Defender",62.5,0.0
assistTotal,"Phil Jones, Defender",50.0,0.0
shotsPerGame,"Phil Jones, Defender",37.5,0.25
aerialWonPerGame,"Phil Jones, Defender",87.5,3.0
manOfTheMatch,"Phil Jones, Defender",75.0,0.0
passSuccess,"Phil Jones, Defender",87.5,89.53
all_rating,"Phil Jones, Defender",87.5,7.33
goalOwn,"Phil Jones, Defender",95.83,0.0
tacklePerGame,"Phil Jones, Defender",75.0,1.83
interceptionPerGame,"Phil Jones, Defender",70.83,1.58
foulsPerGame,"Phil Jones, Defender",37.5,0.42
offsideWonPerGame,"Phil Jones, Defender",95.83,0.33
clearancePerGame,"Phil Jones, Defender",100.0,8.17
wasDribbledPerGame,"Phil Jones, Defender",20.83,0.0
outfielderBlockPerGame,"Phil Jones, Defender",100.0,0.75
defensive_rating,"Phil Jones, Defender",87.5,7.33
keyPassPerGame,"Phil Jones, Defender",29.17,0.17
dribbleWonPerGame,"Phil Jones, Defender",25.0,0.17
foulGivenPerGame,"Phil Jones, Defender",70.83,0.83
offsideGivenPerGame,"Phil Jones, Defender",41.67,0.0
dispossessedPerGame,"Phil Jones, Defender",25.0,0.08
turnoverPerGame,"Phil Jones, Defender",20.83,0.08
offensive_rating,"Phil Jones, Defender",87.5,7.33
totalPassesPerGame,"Phil Jones, Defender",75.0,44.58
accurateCrossesPerGame,"Phil Jones, Defender",41.67,0.0
accurateLongPassPerGame,"Phil Jones, Defender",79.17,2.83
accurateThroughBallPerGame,"Phil Jones, Defender",70.83,0.0
passing_rating,"Phil Jones, Defender",87.5,7.33
shotSixYardBox,"Phil Jones, Defender",79.17,0.08
shotPenaltyArea,"Phil Jones, Defender",41.67,0.17
shotOboxTotal,"Phil Jones, Defender",29.17,0.0
shotsTotal,"Phil Jones, Defender",37.5,0.25
detailed_rating,"Phil Jones, Defender",87.5,7.33
goal,"Daley Blind, Defender",70.83,1.0
assistTotal,"Daley Blind, Defender",79.17,2.0
shotsPerGame,"Daley Blind, Defender",54.17,0.47
aerialWonPerGame,"Daley Blind, Defender",66.67,1.29
manOfTheMatch,"Daley Blind, Defender",75.0,0.0
passSuccess,"Daley Blind, Defender",58.33,86.47
all_rating,"Daley Blind, Defender",83.33,7.31
goalOwn,"Daley Blind, Defender",95.83,0.0
tacklePerGame,"Daley Blind, Defender",83.33,2.0
interceptionPerGame,"Daley Blind, Defender",83.33,1.88
foulsPerGame,"Daley Blind, Defender",50.0,0.76
offsideWonPerGame,"Daley Blind, Defender",79.17,0.18
clearancePerGame,"Daley Blind, Defender",83.33,4.59
wasDribbledPerGame,"Daley Blind, Defender",75.0,0.76
outfielderBlockPerGame,"Daley Blind, Defender",75.0,0.29
defensive_rating,"Daley Blind, Defender",83.33,7.31
keyPassPerGame,"Daley Blind, Defender",79.17,1.41
dribbleWonPerGame,"Daley Blind, Defender",41.67,0.35
foulGivenPerGame,"Daley Blind, Defender",50.0,0.65
offsideGivenPerGame,"Daley Blind, Defender",41.67,0.0
dispossessedPerGame,"Daley Blind, Defender",37.5,0.24
turnoverPerGame,"Daley Blind, Defender",37.5,0.35
offensive_rating,"Daley Blind, Defender",83.33,7.31
totalPassesPerGame,"Daley Blind, Defender",83.33,47.82
accurateCrossesPerGame,"Daley Blind, Defender",91.67,1.24
accurateLongPassPerGame,"Daley Blind, Defender",70.83,2.65
accurateThroughBallPerGame,"Daley Blind, Defender",70.83,0.0
passing_rating,"Daley Blind, Defender",83.33,7.31
shotSixYardBox,"Daley Blind, Defender",62.5,0.0
shotPenaltyArea,"Daley Blind, Defender",54.17,0.29
shotOboxTotal,"Daley Blind, Defender",54.17,0.18
shotsTotal,"Daley Blind, Defender",54.17,0.47
detailed_rating,"Daley Blind, Defender",83.33,7.31
goal,"Antonio Valencia, Defender",62.5,0.0
assistTotal,"Antonio Valencia, Defender",79.17,2.0
shotsPerGame,"Antonio Valencia, Defender",20.83,0.18
aerialWonPerGame,"Antonio Valencia, Defender",54.17,0.86
manOfTheMatch,"Antonio Valencia, Defender",75.0,0.0
passSuccess,"Antonio Valencia, Defender",62.5,86.5
all_rating,"Antonio Valencia, Defender",79.17,7.27
goalOwn,"Antonio Valencia, Defender",95.83,0.0
tacklePerGame,"Antonio Valencia, Defender",87.5,2.32
interceptionPerGame,"Antonio Valencia, Defender",75.0,1.64
foulsPerGame,"Antonio Valencia, Defender",87.5,1.32
offsideWonPerGame,"Antonio Valencia, Defender",83.33,0.18
clearancePerGame,"Antonio Valencia, Defender",75.0,2.45
wasDribbledPerGame,"Antonio Valencia, Defender",41.67,0.27
outfielderBlockPerGame,"Antonio Valencia, Defender",79.17,0.32
defensive_rating,"Antonio Valencia, Defender",79.17,7.27
keyPassPerGame,"Antonio Valencia, Defender",66.67,1.18
dribbleWonPerGame,"Antonio Valencia, Defender",95.83,1.5
foulGivenPerGame,"Antonio Valencia, Defender",54.17,0.68
offsideGivenPerGame,"Antonio Valencia, Defender",87.5,0.32
dispossessedPerGame,"Antonio Valencia, Defender",54.17,0.59
turnoverPerGame,"Antonio Valencia, Defender",62.5,0.82
offensive_rating,"Antonio Valencia, Defender",79.17,7.27
totalPassesPerGame,"Antonio Valencia, Defender",87.5,49.5
accurateCrossesPerGame,"Antonio Valencia, Defender",100.0,1.68
accurateLongPassPerGame,"Antonio Valencia, Defender",58.33,1.64
accurateThroughBallPerGame,"Antonio Valencia, Defender",70.83,0.0
passing_rating,"Antonio Valencia, Defender",79.17,7.27
shotSixYardBox,"Antonio Valencia, Defender",66.67,0.05
shotPenaltyArea,"Antonio Valencia, Defender",25.0,0.09
shotOboxTotal,"Antonio Valencia, Defender",33.33,0.05
shotsTotal,"Antonio Valencia, Defender",20.83,0.18
detailed_rating,"Antonio Valencia, Defender",79.17,7.27
goal,"Marcos Rojo, Defender",62.5,0.0
assistTotal,"Marcos Rojo, Defender",50.0,0.0
shotsPerGame,"Marcos Rojo, Defender",58.33,0.67
aerialWonPerGame,"Marcos Rojo, Defender",79.17,2.47
manOfTheMatch,"Marcos Rojo, Defender",75.0,0.0
passSuccess,"Marcos Rojo, Defender",33.33,84.23
all_rating,"Marcos Rojo, Defender",75.0,7.2
goalOwn,"Marcos Rojo, Defender",95.83,0.0
