Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,WS,OBPM,DBPM,BPM,VORP
225,Jonas Jerebko,PF,29,BOS,78,1232,9.3,0.537,0.496,0.141,5.4,19.1,12.3,8.1,1,1.1,12.3,11.4,0.8,1.3,0.08,2.053333333,-2.4,0.3,-2.1,0
226,Amir Johnson,PF,29,BOS,80,1608,15,0.628,0.178,0.27,8.3,17,12.7,13,1.6,3.2,15.7,13.6,2.9,2.1,0.149,4.9915,-0.2,2.4,2.2,1.7
300,Jordan Mickey,PF,22,BOS,25,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.036,0.10575,-5.7,0.9,-4.9,-0.1
340,Kelly Olynyk,C,25,BOS,75,1538,15.3,0.603,0.378,0.242,5.3,20.7,13.1,15.2,1.4,1.5,14.6,19,2.2,1.9,0.127,4.069291667,0.1,0.5,0.7,1
385,Terry Rozier,PG,22,BOS,74,1263,10.9,0.466,0.436,0.161,3.6,16.3,10,15.2,1.8,0.7,9.7,17.1,0,1.4,0.054,1.420875,-2.5,0,-2.5,-0.2
405,Marcus Smart,SG,22,BOS,79,2399,12,0.486,0.443,0.334,3.7,10.4,7.1,22,2.6,1.2,15.6,18.8,0.5,2.7,0.064,3.198666667,-1.1,0.9,-0.3,1
424,Isaiah Thomas,PG,27,BOS,76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,10.9,1.6,0.234,12.523875,8.7,-3.3,5.4,4.8
478,James Young,SG,21,BOS,29,220,10,0.549,0.603,0.155,3.1,10,6.6,2.6,2.3,0.7,6.1,13.3,0.1,0.2,0.076,0.348333333,-2,-1.1,-3.1,-0.1
483,Tyler Zeller,C,27,BOS,51,525,13,0.508,0.006,0.247,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,0.094,1.028125,-3.3,0.8,-2.5,-0.1
2,Quincy Acy,PF,26,BRK,32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,0.102,1.08375,-1.1,-0.7,-1.8,0
42,Anthony Bennett,PF,23,BRK,23,264,14.7,0.533,0.522,0.391,10.2,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.09,0.495,-0.8,-2.2,-3,-0.1
50,Bojan Bogdanovic,SF,27,BRK,55,1482,13,0.572,0.453,0.273,1.7,12.3,7,10.1,0.8,0.2,12,22.5,1,0.6,0.052,1.6055,-0.4,-2.6,-3,-0.4
54,Trevor Booker,PF,29,BRK,71,1754,15.7,0.554,0.132,0.186,8.7,25.5,17.2,12.9,2,1.2,16.6,18.7,1,2.2,0.086,3.142583333,-1.6,1.7,0.1,0.9
112,Spencer Dinwiddie,PG,23,BRK,59,1334,12.7,0.581,0.334,0.526,2.2,10.7,6.5,20.3,1.6,1.3,15.1,14.1,1.9,0.9,0.101,2.806958333,-0.7,-0.2,-0.9,0.4
135,Yogi Ferrell,PG,23,BRK,10,151,6.5,0.482,0.551,0.327,2.8,5.5,4.2,16.9,0.6,1,20,19.9,-0.2,0,-0.05,-0.157291667,-4,-3.3,-7.3,-0.2
139,Randy Foye,SG,33,BRK,69,1284,7.3,0.506,0.625,0.194,0.8,11.9,6.4,15.2,1.3,0.5,18.5,14.4,-0.6,0.7,0.006,0.1605,-3,-1,-3.9,-0.6
156,Archie Goodwin,SG,22,BRK,12,184,18.6,0.633,0.213,0.525,4.1,11.9,8.1,20.8,1,1.6,15.7,20.7,0.4,0.1,0.131,0.502166667,0.3,-1.4,-1,0
169,Justin Hamilton,C,26,BRK,64,1177,13.6,0.55,0.475,0.137,6.5,17,11.8,7.3,1.2,2.8,9.7,16.2,1,1,0.084,2.05975,-0.9,0.2,-0.8,0.4
178,Joe Harris,SG,25,BRK,52,1138,9,0.558,0.61,0.135,1.5,12,6.8,7.3,1.2,0.5,12.5,16.5,0.1,0.6,0.032,0.758666667,-1.4,-1.5,-3,-0.3
200,Rondae Hollis-Jefferson,SF,22,BRK,78,1761,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,0.07,2.568125,-2.9,1.9,-1,0.4
246,Sean Kilpatrick,SG,27,BRK,70,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.8,23.8,0.4,1.1,0.04,1.461666667,-1.2,-1.8,-3,-0.4
264,Caris LeVert,SF,22,BRK,57,1237,12.3,0.556,0.484,0.245,2,13.9,8,13.7,1.9,0.5,12.3,16.6,0.8,1,0.07,1.803958333,-0.7,-0.4,-1.1,0.3
267,Jeremy Lin,PG,28,BRK,36,883,19.2,0.566,0.39,0.353,1.3,14.7,8.1,35.5,2.3,1.2,15.7,26.6,1.3,0.8,0.116,2.133916667,2.5,-0.4,2.2,0.9
271,Brook Lopez,C,28,BRK,75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,0.105,4.860625,1.9,-0.4,1.5,2
290,Chris McCullough,PF,21,BRK,14,72,16.8,0.541,0.194,0.097,13.4,11.6,12.5,4.9,0.7,2.1,5.8,20.4,0.1,0,0.098,0.147,-0.9,-3,-3.8,0
291,K.J. McDaniels,SF,23,BRK,20,293,12.5,0.556,0.386,0.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,0,0.3,0.046,0.280791667,-3.2,-0.4,-3.7,-0.1
327,Andrew Nicholson,PF,27,BRK,10,111,5,0.43,0.324,0.059,3.9,21.7,12.9,4,2.1,0,14.7,15.8,-0.2,0.1,-0.03,-0.069375,-6.8,-1,-7.8,-0.2
395,Luis Scola,PF,36,BRK,36,461,13.9,0.55,0.331,0.245,11.9,19.9,16,12.7,1.4,0.7,16.9,18.7,0.4,0.4,0.082,0.787541667,-0.8,-0.4,-1.1,0.1
444,Greivis Vasquez,PG,30,BRK,3,39,4.1,0.376,0.375,0.375,0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0,0,-0.006,-0.004875,-5.7,-1.8,-7.5,-0.1
460,Isaiah Whitehead,PG,21,BRK,73,1643,7.6,0.487,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.023,-0.787270833,-4.3,-0.6,-4.9,-1.2
66,Jimmy Butler,SF,27,CHI,76,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,10.1,3.8,0.236,13.81091667,5.8,1.1,6.9,6.3
70,Isaiah Canaan,SG,25,CHI,39,592,8.1,0.483,0.543,0.191,1.1,8.1,4.6,9,1.9,0.1,10.1,15.4,0,0.6,0.042,0.518,-2.3,-1.1,-3.4,-0.2
74,Michael Carter-Williams,PG,25,CHI,45,846,9.9,0.437,0.209,0.252,3,16.6,9.8,20,2.3,2.2,16.3,20.9,-1,1.3,0.013,0.229125,-4.1,1.7,-2.4,-0.1
133,Cristiano Felicio,C,24,CHI,66,1040,15.3,0.603,0,0.421,12.8,19.5,16.1,5.7,1.2,1.3,11.2,12.4,2.1,1.3,0.158,3.423333333,-0.6,0.6,0,0.5
153,Taj Gibson,PF,31,CHI,55,1502,15.4,0.549,0.023,0.225,8.5,19,13.7,6.5,0.9,2.6,11.7,19.2,1.4,1.9,0.104,3.254333333,-2,0.6,-1.3,0.3
162,Jerian Grant,PG,24,CHI,63,1028,13.2,0.555,0.445,0.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16,1.4,1.2,0.119,2.548583333,0,-0.3,-0.3,0.4
209,R.J. Hunter,SG,23,CHI,3,9,-3.2,0,1,0,0,12.1,6,0,0,0,0,4.8,0,0,-0.088,-0.0165,-9.4,-2,-11.4,0
254,Joffrey Lauvergne,C,25,CHI,20,241,11.6,0.451,0.217,0.163,9.3,21.2,15.2,12.2,1.5,0,14,20.7,-0.2,0.3,0.025,0.125520833,-3.5,-0.6,-4,-0.1
272,Robin Lopez,C,28,CHI,81,2271,14.4,0.511,0.003,0.134,11.5,13.2,12.3,5.6,0.4,4.1,10,17.5,1.8,2.4,0.09,4.258125,-1.9,1,-0.9,0.6
292,Doug McDermott,SF,25,CHI,44,1078,11.3,0.555,0.402,0.18,1.4,11.7,6.5,6.5,0.5,0.3,7.4,17.6,1.1,0.8,0.084,1.8865,-0.9,-2,-2.9,-0.2
307,Nikola Mirotic,PF,25,CHI,70,1679,14.5,0.546,0.603,0.205,3.9,20.9,12.3,6.9,1.6,2.6,10.5,19.8,1.2,2.5,0.107,3.742770833,-0.1,0.4,0.4,1
312,Anthony Morrow,SG,31,CHI,9,87,16,0.606,0.483,0.379,1.2,1.2,1.2,10.4,1.2,0,0,17,0.3,0,0.19,0.344375,2,-4.4,-2.4,0
353,Cameron Payne,PG,22,CHI,11,142,4,0.417,0.54,0.063,0.8,12.2,6.5,16.2,1.4,0,16.7,23.9,-0.4,0.1,-0.086,-0.254416667,-5,-2.5,-7.5,-0.2
362,Bobby Portis,PF,21,CHI,64,1000,14.9,0.545,0.256,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,1.1,1.2,0.114,2.375,-1.6,-1.5,-3,-0.3
382,Rajon Rondo,PG,30,CHI,69,1843,13.6,0.461,0.237,0.089,4.2,16.6,10.4,37,2.7,0.5,22.5,17.8,-0.4,2.7,0.06,2.30375,-1.3,1.6,0.3,1.1
441,Denzel Valentine,SG,23,CHI,57,976,7.3,0.492,0.722,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,-0.5,1.1,0.031,0.630333333,-2.4,-0.3,-2.7,-0.2
449,Dwyane Wade,SG,35,CHI,60,1792,18.5,0.508,0.152,0.294,3.8,12.6,8.1,22.3,2.4,1.8,11.3,29.6,0.9,2.5,0.09,3.36,0.4,0.6,1,1.3
485,Paul Zipser,SF,22,CHI,44,843,6.9,0.503,0.448,0.181,1.9,14.2,8,6.1,0.9,1.5,14.4,14.4,-0.3,0.8,0.03,0.526875,-3.6,-0.1,-3.7,-0.4
32,Nicolas Batum,SG,28,CHO,77,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1,15,22.3,1.7,2.8,0.084,4.57975,0.7,0.6,1.2,2.1
39,Marco Belinelli,SG,30,CHO,74,1778,13.3,0.566,0.46,0.273,0.9,10.2,5.5,13.1,1.2,0.4,9.2,19.2,2,1.2,0.087,3.222625,0.1,-2,-1.9,0.1
160,Treveon Graham,SG,23,CHO,27,189,10.6,0.612,0.375,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.3,0.2,0.108,0.42525,-1.5,-1.3,-2.8,0
181,Aaron Harrison,SG,22,CHO,5,17,-2.2,0.102,0.5,0.5,0,19.5,9.7,22.6,0,0,0,12.9,-0.1,0,-0.146,-0.051708333,-9.6,-2.1,-11.6,0
184,Spencer Hawes,PF,28,CHO,35,626,14.8,0.545,0.252,0.156,5.6,20.1,12.8,16.1,1,3.6,14.7,19.6,0.3,0.8,0.086,1.121583333,-1.8,1.2,-0.6,0.2
191,Roy Hibbert,C,30,CHO,42,671,13.5,0.613,0,0.521,8.6,16,12.3,4.5,0.6,5.8,14.9,14,1,0.8,0.129,1.8033125,-2.9,1.8,-1.1,0.1
242,Frank Kaminsky,C,23,CHO,75,1954,13,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8,21.8,0.4,1.9,0.056,2.279666667,-0.8,-0.8,-1.5,0.2
245,Michael Kidd-Gilchrist,SF,23,CHO,81,2349,14.3,0.528,0.015,0.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,2.7,3.1,0.119,5.8235625,-2,2.2,0.2,1.3
252,Jeremy Lamb,SG,24,CHO,62,1143,17,0.55,0.297,0.263,2.9,22.6,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,0.115,2.7384375,-0.8,-0.9,-1.7,0.1
335,Johnny O'Bryant,PF,23,CHO,4,34,15.5,0.567,0.2,0.133,12.9,13,12.9,21.6,0,0,15.9,25,0,0,0.078,0.05525,0.7,-3.1,-2.3,0
359,Miles Plumlee,C,28,CHO,13,174,9,0.602,0,0.167,9.4,17.2,13.3,2.5,2,2,23.7,8.7,0.1,0.2,0.087,0.315375,-3.9,1.3,-2.5,0
378,Brian Roberts,PG,31,CHO,41,416,9.8,0.51,0.361,0.32,1.3,9,5.2,18.7,1.1,0.2,15.7,17.9,0,0.3,0.028,0.242666667,-3.3,-2.6,-5.9,-0.4
400,Ramon Sessions,PG,30,CHO,50,811,12.4,0.495,0.236,0.449,1.5,8.5,4.9,24.2,1.7,0.3,12.7,20.1,0.3,0.6,0.055,0.929270833,-2.4,-2.2,-4.6,-0.5
430,Mike Tobey,C,22,CHO,2,25,-0.1,0.25,0,0,8.7,4.4,6.6,5.4,0,0,20,9,0,0,-0.07,-0.036458333,-7.4,-1.5,-8.9,0
451,Kemba Walker,PG,26,CHO,79,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,0.142,8.102875,5.3,-1.7,3.6,3.9
456,Briante Weber,PG,24,CHO,13,159,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.081,0.2683125,-2.1,-0.2,-2.3,0
468,Marvin Williams,PF,30,CHO,76,2295,13.7,0.551,0.503,0.213,4.2,19.8,12,7.1,1.3,2,7.2,16.3,2.4,2.6,0.105,5.0203125,-0.3,0.5,0.2,1.3
474,Christian Wood,PF,21,CHO,13,107,15.1,0.591,0.217,0.652,14.3,15.5,14.9,2.8,1.4,4.9,19.1,15.4,0.1,0.1,0.125,0.278645833,-2.5,0.6,-2,0
482,Cody Zeller,PF,24,CHO,62,1725,16.7,0.604,0.002,0.442,8.6,17.3,12.9,9.1,1.8,3,10.9,15.5,3.4,2.2,0.157,5.6421875,-0.2,2.3,2.1,1.8
11,Chris Andersen,C,38,CLE,12,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.1,0.2,0.102,0.24225,-3.8,3,-0.9,0
51,Andrew Bogut,C,32,CLE,1,1,-35.3,,,,0,0,0,0,0,0,,0,0,0,0.02,0.000416667,-5.7,0,-5.7,0
117,Mike Dunleavy,SF,36,CLE,23,366,7.6,0.539,0.633,0.211,1.6,12.3,7.1,7.5,0.8,0.4,12.5,13.7,0.1,0.2,0.041,0.312625,-2.1,-1.7,-3.7,-0.2
132,Kay Felder,PG,21,CLE,42,386,11.4,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,-0.3,0.4,0.008,0.064333333,-4.8,-1.2,-6,-0.4
141,Channing Frye,C,33,CLE,74,1398,15.6,0.612,0.644,0.142,3,19.3,11.4,4.9,1.2,2.1,8.8,19.3,2.3,1.4,0.125,3.640625,0.8,-1.5,-0.6,0.5
215,Kyrie Irving,PG,24,CLE,72,2525,23,0.58,0.311,0.231,2.3,7.5,5,29.7,1.6,0.8,10.3,30.8,7.4,1.5,0.17,8.942708333,4.8,-2.3,2.5,2.9
220,LeBron James,SF,32,CLE,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,0.221,12.86404167,6.8,1.6,8.4,7.3
222,Richard Jefferson,SF,36,CLE,79,1614,8.3,0.574,0.542,0.315,2,11.6,6.9,6.6,0.8,0.5,11.8,12.2,1.3,0.8,0.063,2.118375,-1.4,-1,-2.4,-0.2
234,Dahntay Jones,SF,36,CLE,1,12,14.7,0.461,0.25,0.5,9.5,8.9,9.2,14.5,0,0,9.3,39.9,0,0,-0.03,-0.0075,-3.8,-7.1,-10.9,0
237,James Jones,SF,36,CLE,48,381,11.1,0.655,0.717,0.217,0.9,9.5,5.4,5.2,0.8,2.1,9,13,0.6,0.2,0.102,0.809625,0,-1.6,-1.6,0
248,Kyle Korver,SG,35,CLE,35,859,13.5,0.677,0.743,0.056,0.9,11.2,6.2,6.1,0.6,0.8,9.5,15.8,1.6,0.4,0.114,2.040125,2.2,-2.2,0,0.4
265,DeAndre Liggins,SG,28,CLE,61,752,7.2,0.473,0.331,0.272,2.6,11.9,7.4,9.5,3,1.5,21.6,11.5,-0.5,0.9,0.025,0.391666667,-4,2,-2,0
273,Kevin Love,PF,28,CLE,60,1885,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4,2.4,0.163,6.401145833,1.7,-0.9,0.8,1.3
296,Jordan McRae,SG,25,CLE,37,384,9.7,0.488,0.34,0.227,1.8,9.7,5.9,7.4,1,1.3,7.8,20.8,-0.1,0.2,0.02,0.16,-3.7,-2.8,-6.5,-0.4
391,Larry Sanders,C,28,CLE,5,13,6.5,0.41,0,0.5,26.3,8.2,17,0,3.8,6.2,29.1,23.6,0,0,-0.029,-0.007854167,-8.7,-0.9,-9.6,0
401,Iman Shumpert,SG,26,CLE,76,1937,9,0.536,0.534,0.184,2.3,9.9,6.2,7.8,1.6,1.1,12.9,14,0.7,1.4,0.05,2.017708333,-1.3,0,-1.3,0.3
407,J.R. Smith,SG,31,CLE,41,1187,8.1,0.484,0.761,0.042,1.6,8.6,5.2,7.3,1.7,0.7,6.7,14.6,0.1,0.8,0.034,0.840791667,-0.5,-0.7,-1.3,0.2
418,Edy Tavares,C,24,CLE,1,24,22.6,0.676,0,0.25,19,26.7,23,6,0,20.2,31.1,12,0,0.1,0.183,0.0915,-3.1,10.1,7,0.1
428,Tristan Thompson,C,25,CLE,78,2336,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5,2.3,0.149,7.251333333,0,1.5,1.5,2
465,Deron Williams,PG,32,CLE,24,486,11.4,0.566,0.361,0.17,0.2,9.7,5.1,25.9,0.6,1,20.2,18.1,0.4,0.2,0.059,0.597375,-1.9,-2.6,-4.5,-0.3
466,Derrick Williams,PF,25,CLE,25,427,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.086,0.765041667,-1.1,-2.1,-3.2,-0.1
2,Quincy Acy,PF,26,DAL,6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,-0.2,0,-0.133,-0.133,-10.1,-6,-16.2,-0.2
13,Justin Anderson,SF,23,DAL,51,710,14.7,0.521,0.44,0.318,6.1,18.9,12.2,7.6,2.1,2,11.2,23.6,0.1,0.9,0.067,0.991041667,-1.8,-0.1,-2,0
27,J.J. Barea,PG,32,DAL,35,771,17.2,0.521,0.431,0.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2,0.8,0.5,0.08,1.285,2,-2.6,-0.5,0.3
28,Harrison Barnes,PF,24,DAL,79,2803,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,0.078,4.554875,-0.7,-1.2,-1.9,0.1
43,Ben Bentil,PF,21,DAL,3,10,-17.6,0,0.333,0,0,24.4,11.6,0,0,0,25,18.9,-0.1,0,-0.473,-0.098541667,-22.4,-4.5,-26.9,-0.1
51,Andrew Bogut,C,32,DAL,26,582,9.4,0.46,0.012,0.136,10.7,34,21.7,12.3,1.2,3.9,33.4,10.4,-0.3,1,0.055,0.666875,-5.6,5.3,-0.3,0.3
62,Nicolas Brussino,SF,23,DAL,54,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.055,0.596979167,-1.7,0.7,-1,0.1
89,Quinn Cook,PG,23,DAL,5,77,6.9,0.522,0.56,0.08,0,4.8,2.3,25.7,0.7,0,23.6,20.7,-0.1,0,-0.046,-0.073791667,-4.2,-4.5,-8.7,-0.1
97,Seth Curry,PG,26,DAL,70,2029,15.5,0.601,0.458,0.142,1.4,9.3,5.1,16,2,0.3,11,19.5,2.9,1.7,0.11,4.649791667,1.8,-0.4,1.4,1.7
135,Yogi Ferrell,PG,23,DAL,36,1046,14.1,0.541,0.432,0.212,1.7,9.7,5.5,24.1,2,0.6,12.9,19.5,1,0.9,0.09,1.96125,0.5,-0.3,0.2,0.6
136,Dorian Finney-Smith,PF,23,DAL,81,1642,7.7,0.486,0.574,0.183,3.7,12.4,7.9,6,1.6,1.4,11.1,11.6,-0.1,1.5,0.041,1.402541667,-2.8,1.3,-1.4,0.2
152,Jonathan Gibson,PG,29,DAL,17,231,9.5,0.492,0.474,0.305,0.5,11.1,5.5,18.8,1.8,0,16.3,26.3,-0.3,0.2,-0.03,-0.144375,-3.3,-2.2,-5.5,-0.2
170,A.J. Hammons,C,24,DAL,22,163,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,-0.001,-0.003395833,-7.5,2,-5.6,-0.1
176,Devin Harris,PG,33,DAL,65,1087,13.8,0.549,0.519,0.378,1.1,13,6.8,20,2.1,0.6,12.5,19.7,1.1,1.1,0.096,2.174,-0.1,-0.3,-0.4,0.4
179,Manny Harris,SG,27,DAL,4,25,-2.2,0.239,0.133,0.267,13.3,29.3,20.9,12.7,0,0,10.7,35.4,-0.2,0,-0.364,-0.189583333,-15.1,-3.8,-18.8,-0.1
218,Pierre Jackson,PG,25,DAL,8,84,13,0.416,0.282,0.179,1.3,11.6,6.2,38,1.2,0,6.7,25.3,0,0.1,0.021,0.03675,-1.7,-2.7,-4.4,-0.1
265,DeAndre Liggins,SG,28,DAL,1,25,17.6,0.546,0.167,0.5,13.3,19.5,16.3,0,4.2,0,0,13.8,0.1,0,0.194,0.101041667,-1.9,-2,-3.9,0
283,Wesley Matthews,SG,30,DAL,73,2495,11.9,0.533,0.566,0.211,0.8,11.8,6,13.6,1.6,0.5,9.9,19.4,1,2.1,0.06,3.11875,0.2,-0.1,0.1,1.3
299,Salah Mejri,C,30,DAL,73,905,14.8,0.65,0.022,0.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,1.3,1.7,0.159,2.9978125,-3.6,3.8,0.2,0.5
329,Nerlens Noel,C,22,DAL,22,483,19.8,0.606,0,0.358,10.8,26,18,7,2.4,4.5,12.4,17.3,0.9,0.9,0.178,1.791125,-1.3,3.8,2.5,0.5
332,Dirk Nowitzki,PF,38,DAL,54,1424,17,0.529,0.308,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,0.6,1.9,0.084,2.492,-1.6,0.3,-1.3,0.2
364,Dwight Powell,C,25,DAL,77,1333,17.6,0.588,0.196,0.374,7.7,19.5,13.3,6.1,2.4,2.6,7.2,16.7,2.7,1.9,0.165,4.5821875,-0.5,1.9,1.4,1.2
439,Jarrod Uthoff,PF,23,DAL,9,115,13.9,0.487,0.237,0.184,7.7,14.9,11.1,12.8,0.9,3.1,6.8,18.1,0.1,0.1,0.083,0.198854167,-2.1,0.7,-1.4,0
465,Deron Williams,PG,32,DAL,40,1171,15,0.533,0.4,0.185,1.2,9.3,5.1,40.1,1.1,0.2,16.7,23.7,1.1,0.7,0.073,1.780895833,1,-2.4,-1.4,0.2
20,Darrell Arthur,PF,28,DEN,41,639,12.8,0.583,0.544,0.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3,0.6,0.4,0.081,1.0783125,0.3,-0.6,-0.3,0.3
30,Will Barton,SG,26,DEN,60,1705,15.5,0.547,0.353,0.285,3.8,12.9,8.4,17.7,1.4,1.3,11.5,21.1,2.5,0.8,0.093,3.3034375,1.3,-1,0.3,1
37,Malik Beasley,SG,20,DEN,22,165,13.7,0.536,0.384,0.137,3.4,8,5.7,10.2,2.1,0,9.4,22,0.1,0.1,0.057,0.1959375,-0.5,-3.5,-3.9,-0.1
78,Wilson Chandler,SF,29,DEN,71,2197,14.9,0.545,0.347,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10,22,2.4,1.1,0.077,3.524354167,0.5,-1.4,-0.9,0.6
129,Kenneth Faried,PF,27,DEN,61,1296,20.3,0.588,0.014,0.454,15.8,23.6,19.7,6.3,1.6,2.4,10.6,18.3,3.3,1.2,0.168,4.536,0.9,-0.1,0.8,0.9
142,Danilo Gallinari,SF,28,DEN,63,2134,17.4,0.622,0.432,0.516,2,14.7,8.4,9.1,0.9,0.5,8.2,20,6.2,0.7,0.154,6.846583333,2.9,-2.1,0.8,1.5
149,Alonzo Gee,SF,29,DEN,13,89,3.1,0.306,0.214,0.643,5,13.5,9.3,8.2,2.7,0.9,18.2,10.5,-0.1,0.1,-0.032,-0.059333333,-5.6,1,-4.6,-0.1
177,Gary Harris,SG,22,DEN,57,1782,16.5,0.611,0.4,0.21,3,8,5.5,13.6,1.9,0.3,9.8,18.4,3.9,0.7,0.124,4.6035,3.1,-1.6,1.5,1.6
188,Juan Hernangomez,PF,21,DEN,62,842,13.4,0.592,0.504,0.339,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,0.104,1.824333333,-0.1,-1.2,-1.3,0.1
191,Roy Hibbert,C,30,DEN,6,11,16.3,0.667,0,0,10.1,10,10,13.5,0,14.1,25,15.5,0,0,0.119,0.027270833,-1.9,5.1,3.2,0
233,Nikola Jokic,C,21,DEN,73,2038,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2,0.228,9.6805,6.2,2.2,8.4,5.3
303,Mike Miller,SF,36,DEN,20,151,7.6,0.586,0.87,0.087,1.5,26.1,13.9,18.3,0.6,0,35.2,10.4,0,0.1,0.018,0.056625,-3.2,-0.8,-4.1,-0.1
315,Emmanuel Mudiay,PG,20,DEN,55,1406,10.9,0.483,0.323,0.303,2.3,11.6,7,21.8,1.4,0.7,16.5,22.6,-0.4,0.5,0.006,0.17575,-2,-1.7,-3.7,-0.6
318,Jamal Murray,SG,19,DEN,82,1764,11.9,0.518,0.471,0.164,2.6,10.7,6.7,14,1.4,1.1,12.6,21.6,0.6,0.7,0.037,1.35975,-0.5,-2.1,-2.6,-0.3
324,Jameer Nelson,PG,34,DEN,75,2045,11.5,0.544,0.452,0.104,1.5,8.8,5.2,26,1.3,0.3,16.8,15.8,2.3,0.5,0.066,2.811875,0.4,-2.3,-2,0
333,Jusuf Nurkic,C,22,DEN,45,807,15,0.515,0,0.379,12.3,23.2,17.8,11.1,1.5,3.5,18.9,22.6,-0.2,0.8,0.034,0.571625,-3.2,1,-2.3,-0.1
335,Johnny O'Bryant,PF,23,DEN,7,46,14.4,0.597,0.2,0.267,12.1,14.3,13.2,6.2,0,1.7,15.2,18.3,0.1,0,0.096,0.092,-0.8,-3.2,-4,0
358,Mason Plumlee,C,26,DEN,27,632,16.3,0.571,0.006,0.42,8.8,21.3,15.1,15.9,1.5,3.6,17.7,17.5,0.8,0.6,0.107,1.408833333,-0.7,2.2,1.5,0.6
414,Jarnell Stokes,C,23,DEN,2,7,31.5,0.798,0,2,15.9,15.6,15.8,40.1,7,0,0,11.4,0.1,0,0.48,0.07,11.8,3.6,15.4,0
34,Aron Baynes,C,30,DET,75,1163,13.1,0.57,0,0.337,10,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,0.123,2.9801875,-2.9,1.1,-1.8,0.1
63,Reggie Bullock,SF,25,DET,31,467,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,0.101,0.982645833,-0.4,0.5,0.1,0.2
69,Kentavious Caldwell-Pope,SG,23,DET,76,2529,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2,2.5,0.086,4.531125,0.9,0,0.9,1.8
