Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS/48,WS,OBPM,DBPM,BPM,VORP
154,Manu Ginobili,SG,39,SAS,69,1291,13.9,0.532,0.517,0.244,2.5,11.1,6.9,20.8,3.2,1,16.5,20.4,0.6,2.4,0.11,2.958541667,0.5,1.4,1.9,1.3
163,Danny Green,SG,29,SAS,68,1807,10.1,0.537,0.693,0.071,2,11.8,7,9.6,2,2.6,14.1,13.5,0.4,3,0.09,3.388125,-0.3,2.7,2.4,2
253,Nicolas Laprovittola,PG,27,SAS,18,174,8.4,0.579,0.574,0.191,0.7,5.7,3.3,23,1.2,0.5,27.2,18.2,0,0.2,0.044,0.1595,-2.5,-2.4,-4.9,-0.1
259,David Lee,PF,33,SAS,79,1477,18.5,0.613,0,0.269,11.7,21.9,16.9,13,1.1,2.2,14.9,16.9,3.2,2.5,0.186,5.723375,0.7,2.5,3.2,1.9
261,Kawhi Leonard,SF,25,SAS,74,2474,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,0.264,13.607,6.4,1.5,7.9,6.2
304,Patty Mills,PG,28,SAS,80,1754,15.2,0.578,0.572,0.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5,2.9,2.2,0.139,5.079291667,2.5,-1.2,1.3,1.5
317,Dejounte Murray,PG,20,SAS,38,322,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0.004,0.026833333,-4.6,-0.2,-4.8,-0.2
347,Tony Parker,PG,34,SAS,63,1587,13,0.514,0.121,0.206,0.7,7.3,4,27.8,1.1,0.1,12.5,20.2,1.4,1.7,0.092,3.04175,-1.2,-1.7,-3,-0.4
403,Jonathon Simmons,SG,27,SAS,78,1392,9.9,0.504,0.242,0.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18,-0.1,2.1,0.068,1.972,-2.8,0.9,-1.9,0
67,Bruno Caboclo,SF,21,TOR,9,40,14.6,0.438,0.375,0,14.2,14.1,14.1,15.1,2.5,2.2,11.1,20.1,0,0.1,0.083,0.069166667,0.1,0.7,0.8,0
72,DeMarre Carroll,SF,30,TOR,72,1882,11.9,0.53,0.582,0.213,3.8,12.7,8.3,5.7,2.2,1.2,8.2,15.6,1.7,2.1,0.097,3.803208333,0.7,0.4,1,1.4
108,DeMar DeRozan,SG,27,TOR,74,2620,24,0.552,0.08,0.419,3,13.6,8.3,20.6,1.5,0.4,9,34.3,6.7,2.4,0.166,9.060833333,2.4,-1.5,0.9,1.9
210,Serge Ibaka,PF,27,TOR,23,712,13.8,0.556,0.369,0.122,4.6,20.1,12.4,3.3,0.5,4,11.7,20.9,0.4,0.8,0.085,1.260833333,-1.5,-0.5,-2.1,0
241,Cory Joseph,PG,25,TOR,80,2003,13.2,0.518,0.204,0.185,2.9,10.4,6.6,20,1.7,0.6,13.1,18.4,1.7,1.7,0.082,3.421791667,-0.4,-0.4,-0.8,0.6
274,Kyle Lowry,PG,30,TOR,60,2244,22.9,0.623,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,7.8,2.3,0.216,10.098,7.1,-0.5,6.6,4.9
330,Lucas Nogueira,C,24,TOR,57,1088,15.5,0.682,0.077,0.429,8.5,16.8,12.7,5.4,2.4,7.1,19.9,9.5,1.7,2,0.164,3.717333333,-0.1,5.6,5.4,2
350,Patrick Patterson,PF,27,TOR,65,1599,10.8,0.542,0.659,0.156,4.4,16.3,10.4,6.6,1.3,1.2,8.5,12.5,1.7,1.6,0.1,3.33125,0.5,0.4,0.9,1.2
360,Jakob Poeltl,C,21,TOR,54,626,12.2,0.589,0,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.9,0.7,0.125,1.630208333,-1.2,0.5,-0.7,0.2
365,Norman Powell,SG,23,TOR,76,1368,14,0.552,0.342,0.314,2.2,11.8,7,9.3,1.9,0.9,10.8,21.1,1.4,1.4,0.097,2.7645,-0.4,-1.1,-1.5,0.2
384,Terrence Ross,SF,25,TOR,54,1207,14.9,0.558,0.534,0.104,1.3,11.6,6.5,5.9,2.2,1.4,6.2,19.8,1.6,1.3,0.116,2.916916667,1.2,-0.9,0.3,0.7
402,Pascal Siakam,PF,22,TOR,55,859,11.5,0.523,0.034,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1,13.1,0.4,1.2,0.089,1.592729167,-3,1.9,-1.1,0.2
417,Jared Sullinger,PF,24,TOR,11,118,6,0.366,0.383,0.17,9.6,16.3,12.9,3.7,1.7,0.7,7.3,20.7,-0.2,0.1,-0.031,-0.076208333,-4.9,-2.5,-7.5,-0.2
434,P.J. Tucker,SF,31,TOR,24,609,10.4,0.515,0.469,0.125,4.3,19.6,12,5.9,2.6,0.7,9.4,10.9,0.4,0.9,0.099,1.2560625,-0.7,1.9,1.1,0.5
440,Jonas Valanciunas,C,24,TOR,80,2066,20.1,0.601,0.003,0.309,12.4,29.1,20.8,4.4,0.9,2.6,11.7,19.5,4.9,3,0.183,7.876625,-0.5,-0.1,-0.6,0.7
442,Fred VanVleet,PG,22,TOR,37,294,10.5,0.443,0.261,0.198,1.5,14.6,8.1,17.5,2.8,0.9,11.1,20.6,-0.1,0.4,0.04,0.245,-3.2,0,-3.2,-0.1
477,Delon Wright,PG,24,TOR,27,446,15,0.535,0.259,0.474,4.1,8.1,6.1,18.2,3.1,2.1,15.1,16.6,0.5,0.6,0.117,1.087125,-0.1,1.2,1.1,0.4
52,Joel Bolomboy,PF,23,UTA,12,53,19.7,0.59,0.25,0.375,9,27.6,18.5,6.3,1,3.1,9.7,18.2,0.1,0.1,0.171,0.1888125,-1.3,0.5,-0.8,0
65,Alec Burks,SG,25,UTA,42,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.056,0.761833333,-3.3,-0.9,-4.2,-0.4
110,Boris Diaw,PF,34,UTA,73,1283,9,0.494,0.248,0.107,4.3,9.8,7.1,20.3,0.7,0.6,20.3,15.6,-0.1,1.2,0.041,1.095895833,-2.7,-0.2,-2.9,-0.3
