PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.894,0.104,0.002
Jae Crowder_203109_Boston Celtics_1610612738,0.792,0.203,0.005
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.635,0.299,0.066
Wesley Matthews_202083_Dallas Mavericks_1610612742,0.629,0.33,0.041
Rajon Rondo_200765_Sacramento Kings_1610612758,0.319,0.324,0.357
Alec Burks_202692__1610612762,0.362,0.467,0.171
Norris Cole_202708__1610612740,0.308,0.434,0.258
Al Jefferson_2744__1610612766,0.489,0.416,0.095
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.544,0.396,0.06
Robert Covington_203496_Philadelphia 76ers_1610612755,0.763,0.226,0.011
Joe Johnson_2207__1610612748,0.403,0.411,0.185
Trevor Ariza_2772_Houston Rockets_1610612745,0.703,0.283,0.014
Darren Collison_201954_Sacramento Kings_1610612758,0.373,0.399,0.228
DeMarre Carroll_201960_Toronto Raptors_1610612761,0.681,0.27,0.048
Lou Williams_101150_Los Angeles Lakers_1610612747,0.382,0.469,0.149
Julius Randle_203944_Los Angeles Lakers_1610612747,0.422,0.442,0.135
Jeff Green_201145_Los Angeles Clippers_1610612763,0.505,0.375,0.119
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,0.373,0.272,0.355
Michael Beasley_201563_Houston Rockets_1610612745,0.498,0.468,0.034
Marcin Gortat_101162_Washington Wizards_1610612764,0.822,0.16,0.018
Luol Deng_2736_Miami Heat_1610612748,0.738,0.233,0.028
Gary Harris_203914_Denver Nuggets_1610612743,0.65,0.318,0.033
Draymond Green_203110_Golden State Warriors_1610612744,0.716,0.234,0.051
Elfrid Payton_203901_Orlando Magic_1610612753,0.348,0.448,0.204
Jared Sullinger_203096_Boston Celtics_1610612738,0.698,0.266,0.036
George Hill_201588_Indiana Pacers_1610612754,0.501,0.275,0.224
Trey Burke_203504__1610612762,0.431,0.371,0.199
CJ Miles_101139__1610612754,0.741,0.245,0.014
Tony Parker_2225_San Antonio Spurs_1610612759,0.252,0.368,0.379
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.795,0.195,0.01
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.301,0.349,0.35
Kent Bazemore_203145_Atlanta Hawks_1610612737,0.597,0.33,0.073
Otto Porter_203490_Washington Wizards_1610612764,0.791,0.19,0.02
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.257,0.355,0.388
Harrison Barnes_203084_Golden State Warriors_1610612744,0.649,0.336,0.015
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.632,0.306,0.062
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.568,0.327,0.105
TJ Warren_203933_Phoenix Suns_1610612756,0.689,0.282,0.03
Marco Belinelli_201158_Sacramento Kings_1610612758,0.783,0.188,0.029
Kenneth Faried_202702_Denver Nuggets_1610612743,0.851,0.137,0.011
Evan Turner_202323_Boston Celtics_1610612738,0.284,0.471,0.245
Jeremy Lin_202391_Charlotte Hornets_1610612766,0.392,0.399,0.21
Hassan Whiteside_202355_Miami Heat_1610612748,0.713,0.266,0.021
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.748,0.242,0.01
Marvin Williams_101107_Charlotte Hornets_1610612766,0.829,0.169,0.001
Matt Barnes_2440_Memphis Grizzlies_1610612763,0.783,0.202,0.014
Dion Waiters_203079__1610612760,0.394,0.454,0.152
Omri Casspi_201956_Sacramento Kings_1610612758,0.728,0.264,0.008
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.759,0.239,0.002
Jonas Valanciunas_202685_Toronto Raptors_1610612761,0.707,0.267,0.027
Marcus Thornton_201977_Houston Rockets_1610612745,0.627,0.271,0.101
Myles Turner_1626167_Indiana Pacers_1610612754,0.832,0.16,0.008
Hollis Thompson_203138_Philadelphia 76ers_1610612755,0.819,0.175,0.006
Al-Farouq Aminu_202329__1610612757,0.674,0.285,0.041
Nerlens Noel_203457_Philadelphia 76ers_1610612755,0.721,0.263,0.015
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.659,0.3,0.041
Enes Kanter_202683_Oklahoma City Thunder_1610612760,0.77,0.206,0.024
Marcus Smart_203935_Boston Celtics_1610612738,0.607,0.321,0.072
Terrence Ross_203082__1610612761,0.697,0.264,0.039
Raymond Felton_101109_Dallas Mavericks_1610612742,0.326,0.434,0.24
Gerald Green_101123_Miami Heat_1610612748,0.698,0.269,0.033
Dwight Howard_2730_Houston Rockets_1610612745,0.759,0.214,0.027
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,0.585,0.28,0.135
Patrick Beverley_201976__1610612745,0.527,0.33,0.143
Allen Crabbe_203459_Portland Trail Blazers_1610612757,0.806,0.191,0.003
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.724,0.267,0.009
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.467,0.472,0.06
Gary Neal_202390__1610612764,0.444,0.469,0.086
Courtney Lee_201584_Charlotte Hornets_1610612763,0.665,0.288,0.047
Robin Lopez_201577_New York Knicks_1610612752,0.734,0.193,0.073
Kelly Olynyk_203482_Boston Celtics_1610612738,0.676,0.303,0.02
Alex Len_203458_Phoenix Suns_1610612756,0.714,0.265,0.021
Shelvin Mack_202714__1610612762,0.318,0.473,0.209
