PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Will Barton_203115_Denver Nuggets_1610612743,0.34,0.135,0.136,0.288,0.1
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,0.343,0.083,0.086,0.27,0.218
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.544,0.249,0.129,0.076,0.002
Deron Williams_101114_Dallas Mavericks_1610612742,0.314,0.102,0.085,0.251,0.247
Jamal Crawford_2037__1610612746,0.268,0.131,0.122,0.284,0.196
Marcus Morris_202694_Detroit Pistons_1610612765,0.399,0.165,0.184,0.211,0.04
Jabari Parker_203953_Milwaukee Bucks_1610612749,0.477,0.218,0.135,0.157,0.013
Evan Fournier_203095_Orlando Magic_1610612753,0.439,0.146,0.142,0.235,0.038
JJ Redick_200755_Los Angeles Clippers_1610612746,0.539,0.273,0.122,0.058,0.008
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.28,0.231,0.137,0.214,0.139
Tobias Harris_202699_Detroit Pistons_1610612765,0.487,0.162,0.2,0.132,0.019
Devin Booker_1626164_Phoenix Suns_1610612756,0.393,0.145,0.141,0.209,0.112
Arron Afflalo_201167_New York Knicks_1610612752,0.416,0.194,0.155,0.208,0.026
Markieff Morris_202693_Washington Wizards_1610612764,0.537,0.212,0.142,0.103,0.006
Jarrett Jack_101127__1610612751,0.219,0.112,0.093,0.202,0.374
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.882,0.075,0.035,0.008,0
Jae Crowder_203109_Boston Celtics_1610612738,0.607,0.232,0.106,0.05,0.005
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.54,0.129,0.125,0.153,0.053
Wesley Matthews_202083_Dallas Mavericks_1610612742,0.554,0.136,0.132,0.157,0.021
Rajon Rondo_200765_Sacramento Kings_1610612758,0.272,0.088,0.068,0.257,0.315
Alec Burks_202692__1610612762,0.216,0.147,0.186,0.302,0.15
Norris Cole_202708__1610612740,0.221,0.138,0.149,0.256,0.236
Al Jefferson_2744__1610612766,0.547,0.273,0.115,0.065,0
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.484,0.188,0.133,0.162,0.034
Robert Covington_203496_Philadelphia 76ers_1610612755,0.716,0.104,0.115,0.06,0.004
Joe Johnson_2207__1610612748,0.352,0.096,0.118,0.287,0.148
Trevor Ariza_2772_Houston Rockets_1610612745,0.588,0.181,0.132,0.091,0.008
Darren Collison_201954_Sacramento Kings_1610612758,0.314,0.116,0.116,0.245,0.209
DeMarre Carroll_201960_Toronto Raptors_1610612761,0.578,0.133,0.152,0.089,0.048
Lou Williams_101150_Los Angeles Lakers_1610612747,0.3,0.141,0.179,0.273,0.107
Julius Randle_203944_Los Angeles Lakers_1610612747,0.374,0.194,0.149,0.24,0.043
Jeff Green_201145_Los Angeles Clippers_1610612763,0.435,0.164,0.128,0.219,0.055
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,0.283,0.133,0.095,0.189,0.299
Michael Beasley_201563_Houston Rockets_1610612745,0.322,0.312,0.195,0.151,0.02
Marcin Gortat_101162_Washington Wizards_1610612764,0.819,0.093,0.047,0.039,0.001
Luol Deng_2736_Miami Heat_1610612748,0.6,0.203,0.104,0.079,0.014
Gary Harris_203914_Denver Nuggets_1610612743,0.545,0.145,0.135,0.148,0.027
Draymond Green_203110_Golden State Warriors_1610612744,0.629,0.129,0.103,0.099,0.04
Elfrid Payton_203901_Orlando Magic_1610612753,0.25,0.119,0.139,0.308,0.184
Jared Sullinger_203096_Boston Celtics_1610612738,0.677,0.117,0.109,0.094,0.004
George Hill_201588_Indiana Pacers_1610612754,0.434,0.083,0.064,0.218,0.202
Trey Burke_203504__1610612762,0.339,0.11,0.112,0.254,0.185
CJ Miles_101139__1610612754,0.587,0.161,0.144,0.098,0.009
Tony Parker_2225_San Antonio Spurs_1610612759,0.176,0.052,0.08,0.296,0.395
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.712,0.119,0.089,0.074,0.006
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.245,0.104,0.1,0.242,0.309
Kent Bazemore_203145_Atlanta Hawks_1610612737,0.504,0.113,0.144,0.179,0.061
Otto Porter_203490_Washington Wizards_1610612764,0.711,0.123,0.078,0.075,0.013
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.204,0.078,0.069,0.263,0.386
Harrison Barnes_203084_Golden State Warriors_1610612744,0.586,0.147,0.139,0.113,0.015
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.517,0.161,0.098,0.166,0.058
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.472,0.119,0.086,0.209,0.115
TJ Warren_203933_Phoenix Suns_1610612756,0.459,0.293,0.107,0.127,0.014
Marco Belinelli_201158_Sacramento Kings_1610612758,0.689,0.129,0.07,0.088,0.024
Kenneth Faried_202702_Denver Nuggets_1610612743,0.722,0.2,0.059,0.016,0.003
Evan Turner_202323_Boston Celtics_1610612738,0.216,0.122,0.133,0.326,0.204
Jeremy Lin_202391_Charlotte Hornets_1610612766,0.297,0.121,0.135,0.247,0.2
Hassan Whiteside_202355_Miami Heat_1610612748,0.747,0.199,0.031,0.022,0
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.747,0.102,0.094,0.056,0.002
Marvin Williams_101107_Charlotte Hornets_1610612766,0.776,0.081,0.109,0.035,0
Matt Barnes_2440_Memphis Grizzlies_1610612763,0.712,0.134,0.084,0.055,0.014
Dion Waiters_203079__1610612760,0.328,0.123,0.155,0.285,0.109
Omri Casspi_201956_Sacramento Kings_1610612758,0.609,0.151,0.158,0.074,0.008
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.694,0.168,0.109,0.027,0.002
Jonas Valanciunas_202685_Toronto Raptors_1610612761,0.722,0.154,0.074,0.05,0
Marcus Thornton_201977_Houston Rockets_1610612745,0.506,0.131,0.101,0.164,0.098
Myles Turner_1626167_Indiana Pacers_1610612754,0.804,0.143,0.04,0.013,0
Hollis Thompson_203138_Philadelphia 76ers_1610612755,0.729,0.098,0.105,0.064,0.004
Al-Farouq Aminu_202329__1610612757,0.628,0.127,0.102,0.11,0.034
Nerlens Noel_203457_Philadelphia 76ers_1610612755,0.631,0.205,0.08,0.075,0.009
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.522,0.181,0.119,0.148,0.03
