PLAYER_NAME,Overall,3 Pointers,2 Pointers,Less Than 6Ft,Less Than 10Ft,Greater Than 15Ft
Tyreke Evans_201936__1610612740,0.075,0.085,0.076,0.086,0.062,0.097
Ish Smith_202397__1610612740,0.046,0.022,0.051,0.133,0.093,0.017
Nicolas Batum_201587_Charlotte Hornets_1610612766,-0.015,-0.018,0.007,0.001,-0.001,-0.006
Mike Conley_201144_Memphis Grizzlies_1610612763,0.016,-0.015,0.059,0.036,0.06,0.014
Jeff Teague_201952_Atlanta Hawks_1610612737,-0.037,-0.01,-0.032,0.047,0.011,-0.017
Rodney Hood_203918_Utah Jazz_1610612762,-0.001,-0.034,0.018,0.056,0.041,-0.007
Kristaps Porzingis_204001_New York Knicks_1610612752,-0.049,-0.047,-0.054,-0.097,-0.071,-0.03
Goran Dragic_201609_Miami Heat_1610612748,-0.036,-0.038,-0.041,0.01,-0.006,-0.049
Eric Gordon_201569_New Orleans Pelicans_1610612740,0.012,-0.019,0.029,0.066,0.088,-0.02
Will Barton_203115_Denver Nuggets_1610612743,0.018,-0.037,0.043,0.026,0.048,-0.007
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,0.036,-0.011,0.068,0.149,0.105,-0.012
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.027,0.047,0.011,0.002,-0.008,0.009
Deron Williams_101114_Dallas Mavericks_1610612742,-0.005,-0.031,0.036,0.147,0.088,-0.015
Jamal Crawford_2037__1610612746,-0.021,0.012,-0.022,0.06,0.015,-0.004
Marcus Morris_202694_Detroit Pistons_1610612765,-0.02,-0.021,-0.013,0.049,0.012,-0.035
Jabari Parker_203953_Milwaukee Bucks_1610612749,0.046,0.049,0.059,0.067,0.075,0.035
Evan Fournier_203095_Orlando Magic_1610612753,0.029,0.021,0.04,0.069,0.038,0.035
JJ Redick_200755_Los Angeles Clippers_1610612746,-0.057,-0.073,-0.052,0.015,-0.021,-0.051
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.023,0.007,0.042,0.099,0.083,0.004
Tobias Harris_202699_Detroit Pistons_1610612765,0.007,0.039,-0.008,-0.014,-0.027,0.029
Devin Booker_1626164_Phoenix Suns_1610612756,0.048,0.063,0.037,0.06,0.066,0.042
Arron Afflalo_201167_New York Knicks_1610612752,0.014,0.001,0.023,0.159,0.139,-0.004
Markieff Morris_202693_Washington Wizards_1610612764,-0.012,0.007,-0.021,0.024,0.022,-0.012
Jarrett Jack_101127__1610612751,0.02,0.004,0.06,0.044,0.033,0.025
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,-0.009,0.012,-0.019,-0.054,-0.032,-0.006
Jae Crowder_203109_Boston Celtics_1610612738,-0.007,-0.046,0.028,0.074,0.047,-0.02
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.005,0.007,0.021,0.068,0.054,0.003
Wesley Matthews_202083_Dallas Mavericks_1610612742,-0.013,-0.006,-0.001,0.123,0.078,-0.037
Rajon Rondo_200765_Sacramento Kings_1610612758,0.021,-0.005,0.061,0.108,0.104,-0.002
Alec Burks_202692__1610612762,0.052,0.031,0.069,0.109,0.092,0.036
Norris Cole_202708__1610612740,0.054,0.0,0.084,0.177,0.153,0.0
Al Jefferson_2744__1610612766,0.002,-0.131,0.001,-0.008,-0.014,0.006
Chandler Parsons_202718_Dallas Mavericks_1610612742,-0.019,-0.011,-0.008,0.034,-0.015,0.022
Robert Covington_203496_Philadelphia 76ers_1610612755,-0.006,0.021,-0.017,0.058,0.043,-0.028
Joe Johnson_2207__1610612748,0.011,0.014,0.031,0.129,0.099,0.004
Trevor Ariza_2772_Houston Rockets_1610612745,-0.003,0.016,-0.005,0.062,0.035,-0.007
Darren Collison_201954_Sacramento Kings_1610612758,0.03,0.031,0.043,0.143,0.079,0.025
DeMarre Carroll_201960_Toronto Raptors_1610612761,0.003,-0.013,0.013,0.044,0.068,-0.019
Lou Williams_101150_Los Angeles Lakers_1610612747,-0.017,-0.053,0.001,0.078,0.065,-0.056
Julius Randle_203944_Los Angeles Lakers_1610612747,0.037,0.015,0.048,0.044,0.065,-0.007
Jeff Green_201145_Los Angeles Clippers_1610612763,0.014,0.053,0.0,0.005,-0.005,0.059
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,-0.01,0.002,-0.01,0.008,0.022,-0.027
Michael Beasley_201563_Houston Rockets_1610612745,-0.001,0.08,-0.038,-0.135,-0.059,0.074
Marcin Gortat_101162_Washington Wizards_1610612764,-0.016,0.012,-0.03,-0.083,-0.063,-0.011
Luol Deng_2736_Miami Heat_1610612748,0.013,-0.005,0.012,0.026,0.015,-0.002
Gary Harris_203914_Denver Nuggets_1610612743,0.036,0.048,0.036,0.068,0.051,0.041
Draymond Green_203110_Golden State Warriors_1610612744,-0.061,-0.051,-0.063,-0.082,-0.087,-0.021
Elfrid Payton_203901_Orlando Magic_1610612753,0.036,-0.003,0.067,0.071,0.093,-0.003
Jared Sullinger_203096_Boston Celtics_1610612738,0.005,0.079,-0.013,-0.001,-0.003,0.003
George Hill_201588_Indiana Pacers_1610612754,-0.009,0.041,-0.024,0.108,0.03,0.008
Trey Burke_203504__1610612762,0.021,0.026,0.022,0.117,0.102,-0.016
CJ Miles_101139__1610612754,0.005,-0.033,0.025,-0.008,-0.009,0.017
Tony Parker_2225_San Antonio Spurs_1610612759,0.004,-0.013,0.008,0.107,0.035,0.018
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.04,0.058,0.029,0.061,0.049,0.019
Dennis Schroder_203471_Atlanta Hawks_1610612737,-0.003,0.027,-0.015,0.004,0.006,0.014
Kent Bazemore_203145_Atlanta Hawks_1610612737,-0.031,-0.007,-0.034,-0.007,0.0,-0.015
Otto Porter_203490_Washington Wizards_1610612764,0.042,0.037,0.053,0.075,0.074,0.047
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.006,0.002,0.026,0.115,0.087,0.004
Harrison Barnes_203084_Golden State Warriors_1610612744,0.018,0.06,-0.002,0.014,0.023,0.033
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.064,-0.019,0.11,0.157,0.153,0.006
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.036,0.012,0.046,0.092,0.065,0.016
TJ Warren_203933_Phoenix Suns_1610612756,0.011,0.003,0.017,0.054,0.05,-0.006
Marco Belinelli_201158_Sacramento Kings_1610612758,0.035,-0.003,0.082,0.128,0.151,0.002
