PLAYER_NAME,STL,BLK,DREB,RIM_FGM,RIM_FGA,RIM_FG_PCT
Jeff Teague_201952_Atlanta Hawks_1610612737,1.2,0.3,2.3,0.7,1.1,0.627
Rodney Hood_203918_Utah Jazz_1610612762,0.9,0.2,2.9,1.0,1.8,0.552
Kristaps Porzingis_204001_New York Knicks_1610612752,0.7,1.9,5.5,3.3,7.0,0.477
Goran Dragic_201609_Miami Heat_1610612748,1.0,0.2,3.1,0.9,1.8,0.511
Eric Gordon_201569_New Orleans Pelicans_1610612740,1.0,0.3,2.0,0.8,1.4,0.578
Will Barton_203115_Denver Nuggets_1610612743,0.9,0.5,5.1,1.6,3.0,0.549
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,1.2,0.2,2.8,1.2,2.0,0.623
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.9,0.8,6.1,3.9,7.6,0.515
Deron Williams_101114_Dallas Mavericks_1610612742,0.9,0.2,2.6,0.9,1.6,0.587
Jamal Crawford_2037__1610612746,0.7,0.2,1.6,0.7,1.1,0.667
Marcus Morris_202694_Detroit Pistons_1610612765,0.8,0.3,3.9,1.4,2.2,0.631
Jabari Parker_203953_Milwaukee Bucks_1610612749,0.9,0.4,3.6,2.1,3.8,0.561
Evan Fournier_203095_Orlando Magic_1610612753,1.2,0.0,2.4,1.3,2.1,0.596
JJ Redick_200755_Los Angeles Clippers_1610612746,0.6,0.1,1.7,0.7,1.4,0.495
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.8,0.2,2.5,0.7,1.3,0.587
Tobias Harris_202699_Detroit Pistons_1610612765,0.9,0.5,5.4,1.8,3.5,0.523
Devin Booker_1626164_Phoenix Suns_1610612756,0.6,0.3,2.1,1.0,1.7,0.568
Arron Afflalo_201167_New York Knicks_1610612752,0.4,0.1,3.4,0.7,1.2,0.588
Markieff Morris_202693_Washington Wizards_1610612764,0.9,0.5,4.4,1.6,3.0,0.539
Jarrett Jack_101127__1610612751,1.1,0.2,4.0,0.8,1.3,0.605
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.5,1.9,5.0,3.3,7.6,0.436
Jae Crowder_203109_Boston Celtics_1610612738,1.7,0.5,4.2,1.7,2.6,0.633
J.R. Smith_2747_Cleveland Cavaliers_1610612739,1.1,0.3,2.3,0.6,1.2,0.494
Wesley Matthews_202083_Dallas Mavericks_1610612742,1.0,0.2,2.7,0.9,1.6,0.603
Rajon Rondo_200765_Sacramento Kings_1610612758,2.0,0.1,5.0,0.9,1.5,0.619
Alec Burks_202692__1610612762,0.6,0.1,3.0,1.4,2.2,0.642
Norris Cole_202708__1610612740,0.8,0.1,3.1,0.7,1.0,0.682
