PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
Reggie Bullock_203493__1610612765,0.0,0.1,1.4,12.8,0.7,0.9,0.057,0.068
Andre Miller_1889_Minnesota Timberwolves_1610612750,0.2,0.5,4.2,22.3,2.2,2.9,0.1,0.131
Kostas Papanikolaou_203123__1610612743,0.0,0.4,1.7,11.8,0.6,1.1,0.052,0.091
Sonny Weems_201603_Phoenix Suns_1610612756,0.1,0.1,2.6,12.2,1.1,1.4,0.093,0.116
Pablo Prigioni_203143__1610612746,0.1,0.5,4.4,26.5,2.2,2.9,0.083,0.109
Cristiano Felicio_1626245_Chicago Bulls_1610612741,0.0,0.3,1.6,17.0,0.8,1.1,0.049,0.067
Salah Mejri_1626257_Dallas Mavericks_1610612742,0.1,0.1,0.8,12.1,0.3,0.5,0.024,0.041
Jason Thompson_201574_Toronto Raptors_1610612761,0.0,0.2,1.1,15.6,0.6,0.8,0.04,0.052
Lamar Patterson_203934_Atlanta Hawks_1610612737,0.1,0.1,1.9,12.6,1.1,1.3,0.088,0.102
Ryan Hollins_200797_Memphis Grizzlies_1610612763,0.0,0.1,0.7,10.8,0.3,0.4,0.025,0.035
Kendrick Perkins_2570_New Orleans Pelicans_1610612740,0.1,0.3,1.5,19.5,0.8,1.2,0.043,0.061
Nick Collison_2555_Oklahoma City Thunder_1610612760,0.1,0.1,1.9,12.6,0.9,1.1,0.07,0.087
Sergey Karasev_203508_Brooklyn Nets_1610612751,0.1,0.2,1.5,9.7,0.9,1.2,0.091,0.124
