PLAYER_NAME,DRIVE,CATCH_SHOOT,PULL_UP,PAINT_TOUCH,POST_TOUCH,ELBOW_TOUCH,FG3A
Monta Ellis_101145_Indiana Pacers_1610612754,0.268,0.174,0.319,0.022,0.022,0.022,0.275
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,0.159,0.269,0.248,0.055,0.055,0.034,0.383
Tyreke Evans_201936__1610612740,0.421,0.132,0.211,0.013,0.02,0.007,0.272
Ish Smith_202397__1610612740,0.405,0.087,0.302,0.016,0.016,0.008,0.174
Nicolas Batum_201587_Charlotte Hornets_1610612766,0.074,0.342,0.295,0.034,0.027,0.054,0.458
Mike Conley_201144_Memphis Grizzlies_1610612763,0.314,0.163,0.301,0.033,0.026,0.033,0.309
Jeff Teague_201952_Atlanta Hawks_1610612737,0.408,0.14,0.229,0.013,0.019,0.013,0.281
Rodney Hood_203918_Utah Jazz_1610612762,0.228,0.303,0.303,0.007,0.021,0.028,0.462
Kristaps Porzingis_204001_New York Knicks_1610612752,0.056,0.357,0.098,0.147,0.161,0.091,0.274
Goran Dragic_201609_Miami Heat_1610612748,0.312,0.163,0.255,0.021,0.021,0.028,0.236
Eric Gordon_201569_New Orleans Pelicans_1610612740,0.211,0.368,0.217,0.02,0.013,0.039,0.54
Will Barton_203115_Denver Nuggets_1610612743,0.271,0.208,0.201,0.035,0.042,0.021,0.33
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,0.174,0.25,0.333,0.045,0.061,0.023,0.386
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.046,0.059,0.007,0.314,0.359,0.105,0.001
Deron Williams_101114_Dallas Mavericks_1610612742,0.291,0.27,0.255,0.021,0.028,0.028,0.365
Jamal Crawford_2037__1610612746,0.218,0.218,0.366,0.007,0.007,0.056,0.367
Marcus Morris_202694_Detroit Pistons_1610612765,0.135,0.277,0.291,0.035,0.064,0.028,0.314
Jabari Parker_203953_Milwaukee Bucks_1610612749,0.184,0.121,0.113,0.17,0.22,0.071,0.039
Evan Fournier_203095_Orlando Magic_1610612753,0.261,0.307,0.157,0.052,0.059,0.033,0.421
JJ Redick_200755_Los Angeles Clippers_1610612746,0.092,0.485,0.258,0.012,0.012,0.031,0.479
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.214,0.2,0.286,0.021,0.021,0.021,0.333
Tobias Harris_202699_Detroit Pistons_1610612765,0.231,0.224,0.082,0.082,0.109,0.048,0.268
Devin Booker_1626164_Phoenix Suns_1610612756,0.196,0.261,0.21,0.051,0.065,0.051,0.333
Arron Afflalo_201167_New York Knicks_1610612752,0.102,0.32,0.32,0.078,0.102,0.07,0.298
Markieff Morris_202693_Washington Wizards_1610612764,0.083,0.3,0.167,0.125,0.183,0.1,0.216
Jarrett Jack_101127__1610612751,0.203,0.141,0.383,0.008,0.008,0.023,0.284
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.024,0.516,0.04,0.198,0.198,0.135,0.212
Jae Crowder_203109_Boston Celtics_1610612738,0.135,0.362,0.106,0.085,0.092,0.028,0.443
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.097,0.556,0.242,0.024,0.024,0.04,0.602
Wesley Matthews_202083_Dallas Mavericks_1610612742,0.12,0.504,0.192,0.032,0.032,0.008,0.615
Rajon Rondo_200765_Sacramento Kings_1610612758,0.375,0.158,0.167,0.042,0.042,0.025,0.218
Alec Burks_202692__1610612762,0.376,0.143,0.263,0.008,0.023,0.038,0.237
Norris Cole_202708__1610612740,0.226,0.198,0.406,0.009,0.009,0.019,0.211
Al Jefferson_2744__1610612766,0.0,0.175,0.05,0.292,0.375,0.042,0.0
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.234,0.328,0.161,0.058,0.073,0.058,0.384
Robert Covington_203496_Philadelphia 76ers_1610612755,0.156,0.555,0.047,0.039,0.047,0.016,0.677
Joe Johnson_2207__1610612748,0.213,0.295,0.279,0.016,0.025,0.057,0.365
Trevor Ariza_2772_Houston Rockets_1610612745,0.134,0.449,0.126,0.031,0.039,0.008,0.581
Darren Collison_201954_Sacramento Kings_1610612758,0.207,0.2,0.279,0.029,0.036,0.021,0.28
DeMarre Carroll_201960_Toronto Raptors_1610612761,0.109,0.436,0.127,0.073,0.091,0.009,0.437
Lou Williams_101150_Los Angeles Lakers_1610612747,0.176,0.17,0.281,0.013,0.02,0.02,0.462
Julius Randle_203944_Los Angeles Lakers_1610612747,0.248,0.08,0.071,0.15,0.15,0.124,0.043
Jeff Green_201145_Los Angeles Clippers_1610612763,0.265,0.214,0.145,0.094,0.111,0.051,0.259
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,0.426,0.078,0.165,0.122,0.113,0.026,0.099
Michael Beasley_201563_Houston Rockets_1610612745,0.281,0.086,0.227,0.063,0.086,0.078,0.044
Marcin Gortat_101162_Washington Wizards_1610612764,0.007,0.104,0.022,0.563,0.548,0.096,0.001
Luol Deng_2736_Miami Heat_1610612748,0.13,0.317,0.089,0.13,0.154,0.041,0.339
Gary Harris_203914_Denver Nuggets_1610612743,0.179,0.325,0.138,0.081,0.089,0.024,0.388
Draymond Green_203110_Golden State Warriors_1610612744,0.186,0.257,0.021,0.136,0.15,0.05,0.317
Elfrid Payton_203901_Orlando Magic_1610612753,0.435,0.12,0.139,0.046,0.046,0.019,0.126
Jared Sullinger_203096_Boston Celtics_1610612738,0.087,0.337,0.058,0.154,0.163,0.115,0.127
George Hill_201588_Indiana Pacers_1610612754,0.132,0.364,0.207,0.05,0.058,0.017,0.424
Trey Burke_203504__1610612762,0.217,0.349,0.311,0.0,0.0,0.019,0.404
CJ Miles_101139__1610612754,0.127,0.492,0.186,0.008,0.017,0.025,0.611
Tony Parker_2225_San Antonio Spurs_1610612759,0.37,0.118,0.303,0.042,0.042,0.034,0.09
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.09,0.549,0.09,0.074,0.082,0.025,0.594
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.409,0.209,0.245,0.009,0.009,0.009,0.305
Kent Bazemore_203145_Atlanta Hawks_1610612737,0.241,0.328,0.112,0.103,0.095,0.009,0.421
Otto Porter_203490_Washington Wizards_1610612764,0.078,0.448,0.121,0.095,0.103,0.034,0.372
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.376,0.183,0.321,0.018,0.018,0.009,0.366
Harrison Barnes_203084_Golden State Warriors_1610612744,0.085,0.368,0.154,0.12,0.145,0.06,0.334
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.134,0.375,0.17,0.036,0.054,0.045,0.451
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.136,0.4,0.255,0.009,0.018,0.0,0.686
TJ Warren_203933_Phoenix Suns_1610612756,0.109,0.218,0.264,0.109,0.118,0.064,0.159
Marco Belinelli_201158_Sacramento Kings_1610612758,0.039,0.544,0.155,0.049,0.049,0.146,0.466
Kenneth Faried_202702_Denver Nuggets_1610612743,0.032,0.04,0.016,0.384,0.4,0.072,0.003
Evan Turner_202323_Boston Celtics_1610612738,0.311,0.113,0.311,0.057,0.066,0.038,0.111
Jeremy Lin_202391_Charlotte Hornets_1610612766,0.333,0.197,0.205,0.043,0.051,0.034,0.309
Hassan Whiteside_202355_Miami Heat_1610612748,0.007,0.063,0.021,0.472,0.514,0.049,0.0
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.068,0.525,0.059,0.093,0.136,0.017,0.567
Marvin Williams_101107_Charlotte Hornets_1610612766,0.085,0.538,0.043,0.06,0.077,0.034,0.508
