PLAYER_NAME,0-2 Feet - Very Tight,2-4 Feet - Tight,4-6 Feet - Open,6+ Feet - Wide Open
Evan Fournier_203095_Orlando Magic_1610612753,0.015,0.083,0.205,0.284
JJ Redick_200755_Los Angeles Clippers_1610612746,0.031,0.274,0.339,0.231
Zach LaVine_203897_Minnesota Timberwolves_1610612750,0.033,0.184,0.27,0.147
Tobias Harris_202699_Detroit Pistons_1610612765,0.009,0.077,0.182,0.171
Devin Booker_1626164_Phoenix Suns_1610612756,0.051,0.233,0.234,0.145
Arron Afflalo_201167_New York Knicks_1610612752,0.038,0.404,0.217,0.099
Markieff Morris_202693_Washington Wizards_1610612764,0.02,0.151,0.245,0.19
Jarrett Jack_101127__1610612751,0.056,0.34,0.23,0.096
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,0.003,0.072,0.238,0.373
Jae Crowder_203109_Boston Celtics_1610612738,0.006,0.146,0.347,0.144
J.R. Smith_2747_Cleveland Cavaliers_1610612739,0.039,0.272,0.305,0.226
Wesley Matthews_202083_Dallas Mavericks_1610612742,0.019,0.165,0.33,0.289
Rajon Rondo_200765_Sacramento Kings_1610612758,0.008,0.074,0.205,0.166
Alec Burks_202692__1610612762,0.042,0.153,0.195,0.174
Norris Cole_202708__1610612740,0.023,0.182,0.32,0.169
Al Jefferson_2744__1610612766,0.018,0.113,0.192,0.046
Chandler Parsons_202718_Dallas Mavericks_1610612742,0.017,0.171,0.267,0.119
Robert Covington_203496_Philadelphia 76ers_1610612755,0.011,0.236,0.34,0.142
Joe Johnson_2207__1610612748,0.031,0.189,0.28,0.181
Trevor Ariza_2772_Houston Rockets_1610612745,0.007,0.12,0.282,0.287
Darren Collison_201954_Sacramento Kings_1610612758,0.023,0.154,0.25,0.177
DeMarre Carroll_201960_Toronto Raptors_1610612761,0.019,0.193,0.226,0.156
Lou Williams_101150_Los Angeles Lakers_1610612747,0.038,0.277,0.304,0.126
Julius Randle_203944_Los Angeles Lakers_1610612747,0.008,0.049,0.113,0.126
Jeff Green_201145_Los Angeles Clippers_1610612763,0.019,0.109,0.187,0.17
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,0.023,0.119,0.126,0.105
Michael Beasley_201563_Houston Rockets_1610612745,0.015,0.117,0.22,0.073
Marcin Gortat_101162_Washington Wizards_1610612764,0.007,0.085,0.109,0.031
Luol Deng_2736_Miami Heat_1610612748,0.009,0.096,0.243,0.206
Gary Harris_203914_Denver Nuggets_1610612743,0.02,0.136,0.243,0.169
Draymond Green_203110_Golden State Warriors_1610612744,0.006,0.041,0.139,0.195
Elfrid Payton_203901_Orlando Magic_1610612753,0.012,0.098,0.16,0.111
Jared Sullinger_203096_Boston Celtics_1610612738,0.009,0.041,0.202,0.272
George Hill_201588_Indiana Pacers_1610612754,0.033,0.16,0.264,0.221
Trey Burke_203504__1610612762,0.055,0.21,0.338,0.125
CJ Miles_101139__1610612754,0.027,0.263,0.286,0.203
Tony Parker_2225_San Antonio Spurs_1610612759,0.016,0.138,0.251,0.137
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.028,0.21,0.365,0.143
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.01,0.128,0.242,0.181
Kent Bazemore_203145_Atlanta Hawks_1610612737,0.004,0.073,0.144,0.314
Otto Porter_203490_Washington Wizards_1610612764,0.007,0.073,0.318,0.285
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.014,0.137,0.252,0.171
Harrison Barnes_203084_Golden State Warriors_1610612744,0.013,0.107,0.229,0.288
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.026,0.136,0.244,0.211
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.03,0.202,0.345,0.213
TJ Warren_203933_Phoenix Suns_1610612756,0.043,0.177,0.239,0.098
Marco Belinelli_201158_Sacramento Kings_1610612758,0.026,0.285,0.368,0.215
Kenneth Faried_202702_Denver Nuggets_1610612743,0.003,0.016,0.05,0.045
Evan Turner_202323_Boston Celtics_1610612738,0.036,0.265,0.213,0.08
Jeremy Lin_202391_Charlotte Hornets_1610612766,0.022,0.161,0.29,0.13
Hassan Whiteside_202355_Miami Heat_1610612748,0.003,0.031,0.112,0.034
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.01,0.123,0.345,0.253
Marvin Williams_101107_Charlotte Hornets_1610612766,0.019,0.082,0.296,0.267
Matt Barnes_2440_Memphis Grizzlies_1610612763,0.007,0.084,0.329,0.218
Dion Waiters_203079__1610612760,0.013,0.148,0.313,0.169
Omri Casspi_201956_Sacramento Kings_1610612758,0.005,0.034,0.148,0.283
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.012,0.123,0.262,0.208
Jonas Valanciunas_202685_Toronto Raptors_1610612761,0.004,0.051,0.046,0.048
Marcus Thornton_201977_Houston Rockets_1610612745,0.024,0.249,0.29,0.144
Myles Turner_1626167_Indiana Pacers_1610612754,0.026,0.16,0.191,0.217
Hollis Thompson_203138_Philadelphia 76ers_1610612755,0.009,0.19,0.353,0.213
Al-Farouq Aminu_202329__1610612757,0.018,0.085,0.213,0.32
Nerlens Noel_203457_Philadelphia 76ers_1610612755,0,0.048,0.08,0.109
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.037,0.141,0.285,0.178
Enes Kanter_202683_Oklahoma City Thunder_1610612760,0.001,0.042,0.1,0.097
Marcus Smart_203935_Boston Celtics_1610612738,0.026,0.157,0.261,0.136
Terrence Ross_203082__1610612761,0.037,0.313,0.368,0.144
Raymond Felton_101109_Dallas Mavericks_1610612742,0.016,0.138,0.282,0.161
Gerald Green_101123_Miami Heat_1610612748,0.035,0.274,0.282,0.191
Dwight Howard_2730_Houston Rockets_1610612745,0,0.01,0.003,0.013
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,0.032,0.218,0.342,0.167
Patrick Beverley_201976__1610612745,0.012,0.103,0.301,0.222
Allen Crabbe_203459_Portland Trail Blazers_1610612757,0.054,0.254,0.284,0.229
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.019,0.067,0.155,0.128
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.023,0.122,0.254,0.21
Gary Neal_202390__1610612764,0.056,0.262,0.361,0.123
Courtney Lee_201584_Charlotte Hornets_1610612763,0.036,0.161,0.305,0.214
Robin Lopez_201577_New York Knicks_1610612752,0.011,0.039,0.044,0.085
Kelly Olynyk_203482_Boston Celtics_1610612738,0.011,0.07,0.182,0.283
Alex Len_203458_Phoenix Suns_1610612756,0.006,0.057,0.137,0.147
Shelvin Mack_202714__1610612762,0.029,0.131,0.194,0.204
Doug McDermott_203926_Chicago Bulls_1610612741,0.047,0.183,0.275,0.172
Luis Scola_2449_Toronto Raptors_1610612761,0.012,0.066,0.192,0.207
Jameer Nelson_2749__1610612743,0.029,0.199,0.41,0.134
O.J. Mayo_201564_Milwaukee Bucks_1610612749,0.062,0.209,0.399,0.125
Jerami Grant_203924_Philadelphia 76ers_1610612755,0.01,0.035,0.109,0.164
Jeremy Lamb_203087_Charlotte Hornets_1610612766,0.035,0.229,0.245,0.116
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,0.027,0.145,0.307,0.271
Austin Rivers_203085_Los Angeles Clippers_1610612746,0.019,0.114,0.273,0.159
Kyle Korver_2594_Atlanta Hawks_1610612737,0.049,0.303,0.353,0.229
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.043,0.242,0.197,0.109
Patty Mills_201988_San Antonio Spurs_1610612759,0.031,0.186,0.335,0.283
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0,0.025,0.033,0.062
Kevin Martin_2755_San Antonio Spurs_1610612750,0.047,0.347,0.224,0.108
Jordan Hill_201941_Indiana Pacers_1610612754,0.005,0.064,0.17,0.144
Nikola Jokic_203999_Denver Nuggets_1610612743,0.003,0.052,0.112,0.139
Aaron Gordon_203932__1610612753,0.01,0.081,0.146,0.21
Manu Ginobili_1938_San Antonio Spurs_1610612759,0.018,0.092,0.283,0.2
Nik Stauskas_203917_Philadelphia 76ers_1610612755,0.026,0.136,0.261,0.283
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.02,0.234,0.383,0.2
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.034,0.262,0.291,0.184
Mo Williams_2590__1610612739,0.04,0.348,0.325,0.156
Archie Goodwin_203462_Phoenix Suns_1610612756,0.012,0.076,0.152,0.102
Tony Allen_2754_Memphis Grizzlies_1610612763,0,0.034,0.079,0.145
Terrence Jones_203093_Houston Rockets_1610612745,0.003,0.033,0.124,0.137
Mario Chalmers_201596_Memphis Grizzlies_1610612763,0.032,0.111,0.205,0.163
Cory Joseph_202709__1610612761,0.026,0.136,0.218,0.108
Tim Duncan_1495_San Antonio Spurs_1610612759,0.016,0.059,0.095,0.125
