PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,0.817,0.543,0.641,0,0.441,0.78,0.931,1.086,1.093,0.765
Danilo Gallinari_201568_Denver Nuggets_1610612743,1.542,0.847,0.81,1.256,1.11,0.961,1.109,1.423,1.152,1.059
Thaddeus Young_201152_Brooklyn Nets_1610612751,0.942,0.806,1.0,1.042,0.925,0.734,0,1.091,0.929,0.913
Paul Millsap_200794_Atlanta Hawks_1610612737,1.077,0.743,0.81,0.973,1.039,0.878,0.923,1.232,0.674,1.024
Derrick Favors_202324_Utah Jazz_1610612762,1.054,0.885,0,1.106,0.857,0.642,0,1.259,0,1.307
Andre Drummond_203083_Detroit Pistons_1610612765,1.0,0.623,0,1.103,0.726,0.636,0,1.137,0,1.079
Al Horford_201143__1610612737,0,0,0,0,0,0,0,0,0,0
Kevin Love_201567_Cleveland Cavaliers_1610612739,1.096,0.929,0,0.953,0.981,1.063,0.737,1.019,1.034,0.887
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,1.224,0.825,0.814,0.829,0.798,0.835,0.571,1.314,0.6,1.226
Monta Ellis_101145_Indiana Pacers_1610612754,1.026,0.76,0.779,0,0,1.005,0.682,1.28,0.838,1.222
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,1.19,0.81,0.823,0,0,0.899,0.754,1.432,0.681,1.1
Tyreke Evans_201936__1610612740,1.065,0.77,0.843,0,0,1.229,0.655,0,0,1.0
Ish Smith_202397__1610612740,1.083,0.742,0.667,0,0,1.0,0.895,0,0.833,0.75
Nicolas Batum_201587_Charlotte Hornets_1610612766,1.025,0.748,0.785,0,0.737,0.934,0.914,1.0,1.109,1.28
Mike Conley_201144_Memphis Grizzlies_1610612763,0.949,1.018,0.86,0,0,1.064,0.988,1.609,1.157,1.333
Jeff Teague_201952_Atlanta Hawks_1610612737,1.107,0.834,0.785,0,1.077,1.348,0.784,1.333,0.705,0
Rodney Hood_203918_Utah Jazz_1610612762,1.196,1.078,0.876,0,0.966,1.089,0.908,1.167,0.604,1.158
Kristaps Porzingis_204001_New York Knicks_1610612752,0.95,0.765,0.615,1.072,0.821,0.812,0,1.125,0.893,1.235
Goran Dragic_201609_Miami Heat_1610612748,1.073,0.914,0.789,0,0,1.0,0.742,1.032,0.814,1.231
Eric Gordon_201569_New Orleans Pelicans_1610612740,1.2,0.766,0.95,0,0,1.059,0.867,1.4,0.947,0
Will Barton_203115_Denver Nuggets_1610612743,1.114,0.703,0.891,0,0.2,0.968,0.756,1.367,1.0,1.025
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,0.949,1.082,0.715,0,0.934,0.995,0.875,1.396,0.806,0.68
Greg Monroe_202328_Milwaukee Bucks_1610612749,1.231,0.855,0,1.069,0.862,0.96,0,1.203,0.846,1.153
Deron Williams_101114_Dallas Mavericks_1610612742,0.953,0.875,0.718,0,0.862,1.077,0.847,1.222,1.009,0
Jamal Crawford_2037__1610612746,1.152,1.004,0.817,0,0,1.071,0.824,0,0.795,1.273
Marcus Morris_202694_Detroit Pistons_1610612765,1.121,0.806,0.714,0.824,0.988,1.118,0.725,1.667,0.845,1.038
Jabari Parker_203953_Milwaukee Bucks_1610612749,1.212,0.716,0.701,0.727,1.0,0.813,0.6,1.182,1.0,1.2
Evan Fournier_203095_Orlando Magic_1610612753,1.342,0.983,0.804,0,0,1.052,0.941,1.308,1.075,1.176
JJ Redick_200755_Los Angeles Clippers_1610612746,1.307,0.846,0.86,0,0,1.52,0.959,1.0,1.124,0
Zach LaVine_203897_Minnesota Timberwolves_1610612750,1.218,0.918,0.718,0,0,1.155,1.008,1.174,0.874,1.824
Tobias Harris_202699_Detroit Pistons_1610612765,1.22,0.756,0.881,0.977,1.114,1.108,0.381,1.692,0.8,1.167
Devin Booker_1626164_Phoenix Suns_1610612756,1.166,0.814,0.799,0,1.108,0.899,0.683,1.37,0.954,1.417
Arron Afflalo_201167_New York Knicks_1610612752,1.033,1.037,0.733,0,1.025,1.028,0.754,1.452,0.95,0
Markieff Morris_202693_Washington Wizards_1610612764,1.077,0.684,0.538,1.089,0.839,0.542,0,1.429,1.042,0.741
Jarrett Jack_101127__1610612751,0.815,0.66,0.829,0,0,0.89,0.783,0,0.429,0
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,1.133,0.333,0,0.96,1.0,0.896,0,1.204,0.762,1.183
Jae Crowder_203109_Boston Celtics_1610612738,1.164,0.667,0.781,1.237,0.943,1.027,0.985,1.464,1.041,1.086
J.R. Smith_2747_Cleveland Cavaliers_1610612739,1.139,0.733,0.676,0,0.417,1.183,1.14,0.941,1.077,0
Wesley Matthews_202083_Dallas Mavericks_1610612742,1.111,0.93,0.736,0.692,0.898,1.115,0.723,0.852,0.949,1.091
Rajon Rondo_200765_Sacramento Kings_1610612758,0.671,0.75,0.749,0,0,0.903,0.889,1.14,0,0.893
Alec Burks_202692__1610612762,0,0,0,0,0,0,0,0,0,0
Norris Cole_202708__1610612740,0.929,0.727,0.824,0,0,0.792,0.732,0,0,0
Al Jefferson_2744__1610612766,0,0,0,0,0,0,0,0,0,0
Chandler Parsons_202718_Dallas Mavericks_1610612742,1.304,0.984,0.887,0.9,0.84,1.229,0.675,1.378,0.822,0.462
Robert Covington_203496_Philadelphia 76ers_1610612755,1.027,0.605,0.262,1.353,0,0.933,0.973,1.0,1.0,1.111
Joe Johnson_2207__1610612748,1.5,1.029,0.881,0,1.152,1.087,0.867,0,0.733,0.636
Trevor Ariza_2772_Houston Rockets_1610612745,1.312,0.75,0.635,0.857,0,0.893,1.073,1.278,1.023,0.813
Darren Collison_201954_Sacramento Kings_1610612758,1.187,0.901,0.937,0,0,1.093,1.088,0.875,0,1.0
DeMarre Carroll_201960_Toronto Raptors_1610612761,1.014,0.632,0.667,0,0,1.105,0.636,0.846,0.462,1.0
Lou Williams_101150_Los Angeles Lakers_1610612747,1.058,1.187,1.014,0,0,1.17,0.883,1.333,0.965,1.4
Julius Randle_203944_Los Angeles Lakers_1610612747,1.04,0.72,0.667,0.728,0.656,0.699,0,1.2,0.5,1.096
Jeff Green_201145_Los Angeles Clippers_1610612763,1.057,0.769,0.95,0.783,0.732,0.871,0.786,1.313,0.925,1.273
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,1.087,0.902,0.709,0,0.432,0.852,1.053,1.125,0.2,0.739
Michael Beasley_201563_Houston Rockets_1610612745,1.474,0.977,0.615,0.645,0.786,1.078,0,1.05,0,1.278
Marcin Gortat_101162_Washington Wizards_1610612764,1.23,0.909,0,1.212,0.895,0.938,0,1.134,0,1.01
Luol Deng_2736_Miami Heat_1610612748,1.326,0.487,0.846,1.0,0.639,0.95,1.059,1.276,0.61,1.349
Gary Harris_203914_Denver Nuggets_1610612743,1.221,0.778,0.8,0,0,0.983,0.888,1.27,0.971,1.111
Draymond Green_203110_Golden State Warriors_1610612744,0.881,0.902,0.852,1.019,0.67,1.013,1.25,1.373,1.107,0.965
Elfrid Payton_203901_Orlando Magic_1610612753,0.98,0.857,0.678,0,0,0.785,0.75,0.981,0.368,1.275
Jared Sullinger_203096_Boston Celtics_1610612738,0.985,0.579,0,0.873,0.825,0.824,0,1.046,0.851,1.081
George Hill_201588_Indiana Pacers_1610612754,1.059,0.86,0.792,0,0.727,1.112,0.892,1.581,1.157,1.318
Trey Burke_203504__1610612762,0.967,0.902,0.842,0,0,0.989,0.84,0,1.24,0
CJ Miles_101139__1610612754,1.181,1.05,0.704,0.842,0,1.059,0.925,0,1.014,1.056
Tony Parker_2225_San Antonio Spurs_1610612759,1.026,0.667,0.925,0,0,1.018,0.75,1.64,0.797,0
Mirza Teletovic_203141_Phoenix Suns_1610612756,1.142,1.037,0.583,1.036,0.912,1.139,0.659,1.158,0.929,1.351
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.96,0.958,0.71,0,0,1.078,1.156,1.0,1.085,0
Kent Bazemore_203145_Atlanta Hawks_1610612737,1.074,1.0,0.593,0,0,0.986,0.683,1.159,1.279,1.0
Otto Porter_203490_Washington Wizards_1610612764,1.203,0.692,0.819,1.273,0.636,0.971,0.524,1.278,1.066,1.183
Jose Juan Barea_200826_Dallas Mavericks_1610612742,1.041,0.688,0.87,0,0,1.243,0.955,1.6,0.867,0
Harrison Barnes_203084_Golden State Warriors_1610612744,1.133,0.815,0.939,0.955,0.905,1.077,0.8,1.194,0.903,1.148
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,1.279,0.75,0.761,0,0.712,1.017,0.818,1.0,0.822,1.235
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,1.081,0.722,0.758,0,0,1.074,1.013,0.75,1.061,0
TJ Warren_203933_Phoenix Suns_1610612756,1.085,0.857,0.865,0,0,1.116,0.364,1.239,1.273,1.0
Marco Belinelli_201158_Sacramento Kings_1610612758,1.34,0,0.569,0,0,0.814,0.662,1.345,0.977,0
Kenneth Faried_202702_Denver Nuggets_1610612743,1.324,0.444,0,1.129,0.936,0.643,0,1.166,0,1.052
Evan Turner_202323_Boston Celtics_1610612738,1.04,0.895,0.708,0,0.99,0.746,0.982,1.233,0.818,0.826
Jeremy Lin_202391_Charlotte Hornets_1610612766,1.007,0.787,0.789,0,0,0.86,0.905,1.442,1.181,0
Hassan Whiteside_202355_Miami Heat_1610612748,1.316,0.9,0,1.342,0.786,0.895,0,1.405,0,1.189
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.88,0.742,0.318,1.033,0.83,1.111,0.643,1.136,1.175,1.361
Marvin Williams_101107_Charlotte Hornets_1610612766,1.127,0,0.833,1.131,1.158,1.121,1.25,1.179,0.925,1.076
Matt Barnes_2440_Memphis Grizzlies_1610612763,0.972,0.6,0.739,1.207,0.45,0.937,0.778,0.975,0.705,1.019
Dion Waiters_203079__1610612760,0.854,0.772,0.689,0,0,1.041,0.906,0,0.889,1.0
Omri Casspi_201956_Sacramento Kings_1610612758,1.156,0.952,0.543,0.864,1.2,1.023,1.25,1.055,1.162,1.167
Ersan Ilyasova_101141_Orlando Magic_1610612753,1.0,0,0,0.969,0.385,1.026,0.7,1.5,0.949,0.825
Jonas Valanciunas_202685_Toronto Raptors_1610612761,1.25,0,0,1.267,0.867,1.0,0,1.429,0,1.014
Marcus Thornton_201977_Houston Rockets_1610612745,1.375,0.652,0.75,0,0,1.139,0.545,0.955,0.615,1.294
Myles Turner_1626167_Indiana Pacers_1610612754,1.313,0.769,0,0.839,0.845,0.815,0,1.433,0.75,1.25
Hollis Thompson_203138_Philadelphia 76ers_1610612755,1.113,0.692,0.558,0,0,1.102,0.753,1.167,0.662,0.909
Al-Farouq Aminu_202329__1610612757,0,0,0,0,0,0,0,0,0,0
Nerlens Noel_203457_Philadelphia 76ers_1610612755,1.292,0.532,0,0.936,0.678,0.592,0,1.116,0,1.083
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,1.154,1.364,1.0,0,0,1.25,0.636,1.2,1.0,0
Enes Kanter_202683_Oklahoma City Thunder_1610612760,1.361,0.714,0,1.095,0.888,1.167,0,1.287,0,1.196
Marcus Smart_203935_Boston Celtics_1610612738,0.922,0.656,0.774,0,0.81,0.785,0.725,1.176,0.6,0.957
Terrence Ross_203082__1610612761,1.292,0.738,0.768,0,0,1.126,0.737,0,1.024,0
Raymond Felton_101109_Dallas Mavericks_1610612742,1.026,0.856,0.775,0,0,0.898,1.304,1.375,0.9,0
Gerald Green_101123_Miami Heat_1610612748,1.0,0.682,0.837,0,1.737,1.009,0.797,0.917,0.693,1.053
Dwight Howard_2730_Houston Rockets_1610612745,1.115,0,0,1.099,0.822,0,0,1.384,0,1.146
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,1.047,0.974,0.791,0,0,1.239,0.592,0.929,1.234,0
Patrick Beverley_201976__1610612745,1.089,0.81,0.645,1.286,0,1.106,0.842,0,0,1.44
Allen Crabbe_203459_Portland Trail Blazers_1610612757,1.193,0,0.75,1.12,0,1.192,0.765,1.471,0.93,2.0
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,1.19,0.622,0.915,0,0.953,0.82,0.694,1.474,0.844,1.272
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.986,0.6,0.618,0,0.576,0.8,0.784,1.5,0.667,0.941
Gary Neal_202390__1610612764,1.058,1.565,1.076,0,0,0.884,1.243,0,0.981,0
Courtney Lee_201584_Charlotte Hornets_1610612763,1.395,0.857,0.93,0,0,0.97,0.778,1.1,0.867,0.727
Robin Lopez_201577_New York Knicks_1610612752,1.182,0.615,0,1.035,0.894,0.727,0,1.13,0,1.184
Kelly Olynyk_203482_Boston Celtics_1610612738,1.316,0.4,0,1.038,0.92,1.059,0.706,1.216,1.026,0.8
Alex Len_203458_Phoenix Suns_1610612756,0.897,0.273,0,0.869,0.686,0.671,0,1.163,0.75,0.946
Shelvin Mack_202714__1610612762,1.105,1.034,0.673,0,0,0.97,0.98,0,0,0
Doug McDermott_203926_Chicago Bulls_1610612741,1.042,0,1.192,0,0.905,1.167,0.97,1.365,0.805,1.0
Luis Scola_2449_Toronto Raptors_1610612761,1.427,0,0,0.831,0.725,0.966,0,1.091,0,0.931
Jameer Nelson_2749__1610612743,0.917,1.0,0.665,0,0,0.775,0.964,0,0,0
O.J. Mayo_201564_Milwaukee Bucks_1610612749,0.959,1.0,0.645,0,0.4,0.944,0.911,0.667,0.556,0
Jerami Grant_203924_Philadelphia 76ers_1610612755,1.116,0.824,0.652,0.6,0.878,0.846,0.917,1.074,0.81,0.904
Jeremy Lamb_203087_Charlotte Hornets_1610612766,1.042,0.805,0.966,0,0,0.955,0.686,1.396,1.032,1.179
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,0.918,0.944,0.69,0,0,0.885,0.946,0.4,0,0
Austin Rivers_203085_Los Angeles Clippers_1610612746,1.132,0.811,0.852,0,0,1.016,0.738,1.3,1.438,0
Kyle Korver_2594_Atlanta Hawks_1610612737,1.16,0,0.918,0,0,1.127,0.958,1.16,1.0,0
Rodney Stuckey_201155_Indiana Pacers_1610612754,1.175,0.727,0.761,0,0,0.916,0.706,1.158,1.148,0
Patty Mills_201988_San Antonio Spurs_1610612759,0.897,0.938,0.837,0,0,1.127,0.873,1.2,1.184,0
Jusuf Nurkic_203994_Denver Nuggets_1610612743,1.364,0,0,1.012,0.639,0.545,0,1.025,0,0.654
Kevin Martin_2755_San Antonio Spurs_1610612750,1.438,0.93,0.4,0,0.778,0.968,0.696,1.0,0.778,0
Jordan Hill_201941_Indiana Pacers_1610612754,0.909,0.706,0,0.964,0.822,0.736,0,1.198,0,1.207
Nikola Jokic_203999_Denver Nuggets_1610612743,0.979,0.5,0,0.994,0.936,1.0,0,1.238,0,1.204
Aaron Gordon_203932__1610612753,0,0,0,0,0,0,0,0,0,0
Manu Ginobili_1938_San Antonio Spurs_1610612759,1.158,1.056,0.691,0,0,1.113,0.956,1.2,1.043,0
Nik Stauskas_203917_Philadelphia 76ers_1610612755,1.033,0.966,0.598,0,0,0.925,0.813,1.25,1.042,1.636
Wayne Ellington_201961_Brooklyn Nets_1610612751,1.059,0.867,0.75,0,0,1.06,0.689,1.385,0.806,1.1
Gerald Henderson_201945_Portland Trail Blazers_1610612757,1.161,0.807,0.719,0,0.846,0.986,0.816,1.429,0.836,1.375
Mo Williams_2590__1610612739,0.855,0.933,0.778,0,0,1.116,0.962,0,1.063,0
Archie Goodwin_203462_Phoenix Suns_1610612756,1.086,0.88,0.622,0,0,0.884,0.774,1.029,0.636,1.1
Tony Allen_2754_Memphis Grizzlies_1610612763,1.077,0.929,0.968,0,0.6,0.75,0.5,0.962,0,0.803
Terrence Jones_203093_Houston Rockets_1610612745,1.192,0.63,0,1.107,0.784,0.89,0,1.072,0,0.951
Mario Chalmers_201596_Memphis Grizzlies_1610612763,1.096,1.0,0.867,0,0,0.923,1.081,1.429,0.6,0.929
Cory Joseph_202709__1610612761,1.306,0.826,0.879,0,0,0.857,0.826,0,1.0,0
Tim Duncan_1495_San Antonio Spurs_1610612759,1.038,0,0,0.965,0.861,0.839,0,1.105,0,1.375
Toney Douglas_201962_New Orleans Pelicans_1610612740,1.208,0.737,0.791,0,0,1.176,0.951,1.294,0,0
Ramon Sessions_201196_Washington Wizards_1610612764,1.088,0.933,0.866,0,0,0.891,1.276,1.419,1.04,0
Meyers Leonard_203086_Portland Trail Blazers_1610612757,1.167,0,0,1.086,0.871,1.005,0,1.026,1.308,0.682
Langston Galloway_204038_New York Knicks_1610612752,1.072,0.758,0.744,0,0,0.907,0.786,1.343,0.738,1.105
PJ Tucker_200782_Phoenix Suns_1610612756,0.774,0.417,0.84,0.583,0.516,1.018,0.25,1.017,0.938,1.129
Danny Green_201980_San Antonio Spurs_1610612759,0.978,0.5,0.552,0,0,0.954,0.485,1.25,0.797,1.1
Gorgui Dieng_203476_Minnesota Timberwolves_1610612750,1.383,0.645,0,0.946,0.9,0.898,0,1.386,0,1.178
Derrick Williams_202682_New York Knicks_1610612752,1.052,0.938,0.737,1.018,0.93,0.923,0.9,1.346,0.919,1.286
Bobby Portis_1626171_Chicago Bulls_1610612741,1.06,0.523,0,0.964,0.776,0.76,0,1.226,0,0.942
Darrell Arthur_201589_Denver Nuggets_1610612743,1.063,0.286,0,0.925,0.957,1.011,0,0.941,1.6,0.911
Jon Leuer_202720_Phoenix Suns_1610612756,1.145,0.891,0,1.182,0.886,0.812,0.818,1.019,0,1.204
Carl Landry_201171_Philadelphia 76ers_1610612755,1.353,0.588,0,1.13,1.078,1.058,0,1.25,0,1.342
Nick Young_201156__1610612747,0.968,0.933,0.887,0,0,0.944,1.097,0,0.75,0
Lance Stephenson_202362_Memphis Grizzlies_1610612763,0.805,1.2,0.708,0,0.75,1.016,1.067,1.571,0,1.333
Taj Gibson_201959_Chicago Bulls_1610612741,1.069,1.364,0,0.883,0.891,1.189,0,1.066,0,1.05
Aaron Brooks_201166__1610612741,0,0,0,0,0,0,0,0,0,0
Nene_2403_Washington Wizards_1610612764,1.146,1.0,0,0.957,0.888,0.667,0,1.293,0,0.842
Tyler Johnson_204020_Miami Heat_1610612748,0.778,1.0,0.932,0,0,1.035,1.233,1.833,1.5,1.091
Matthew Dellavedova_203521_Cleveland Cavaliers_1610612739,1.017,0.591,0.682,0,0,1.24,0.821,1.636,1.0,0
Corey Brewer_201147_Houston Rockets_1610612745,1.096,0.857,0.5,0,0,0.792,0.696,1.0,0.444,0.75
Ben McLemore_203463_Sacramento Kings_1610612758,1.089,0.852,0.469,0,0,0.843,1.053,1.028,0.837,1.0
E'Twaun Moore_202734_Chicago Bulls_1610612741,0.94,0.733,0.796,0,0.727,1.143,1.023,1.545,0,1.0
DeAndre Jordan_201599_Los Angeles Clippers_1610612746,1.194,0,0,1.403,0.781,0,0,1.481,0,0.961
Jason Smith_201160_Orlando Magic_1610612753,1.222,0,0,1.004,0.357,0.931,0,1.054,0.727,1.0
Frank Kaminsky_1626163_Charlotte Hornets_1610612766,1.075,0.92,0,1.0,0.786,0.813,0.455,1.295,1.053,1.355
Lance Thomas_202498_New York Knicks_1610612752,1.141,1.063,0.759,0.833,1.231,1.074,0,1.024,0.643,1.158
Wesley Johnson_202325_Los Angeles Clippers_1610612746,1.165,0.909,0.75,0.912,0,0.951,0.72,1.531,0.657,0.692
Joffrey Lauvergne_203530_Denver Nuggets_1610612743,1.368,0.286,0,1.104,1.03,0.798,0,1.262,0,1.133
Shane Larkin_203499_Brooklyn Nets_1610612751,1.0,1.233,0.673,0,0,0.919,1.045,1.243,0,0
Josh Smith_2746_Houston Rockets_1610612745,0.778,0.852,0.4,0.643,0.3,0.956,0,1.176,0,1.167
Marreese Speights_201578_Golden State Warriors_1610612744,1.35,0.759,0,1.081,0.776,0.944,0,0.914,0.852,0.738
JaMychal Green_203210_Memphis Grizzlies_1610612763,1.164,0.762,0,0.894,0.841,0.763,0,1.178,0,1.009
Garrett Temple_202066_Washington Wizards_1610612764,1.076,1.143,0.59,0,0,0.97,0.75,0.808,0.735,1.067
Brandon Jennings_201943__1610612765,0.744,0.556,0.613,0,0,1.04,0.857,0,0,0
Ian Mahinmi_101133_Indiana Pacers_1610612754,1.373,0.667,0,1.125,0.8,0.673,0,1.161,0,1.203
Mason Plumlee_203486_Portland Trail Blazers_1610612757,1.125,0.614,0,0.982,0.873,0.629,0,1.116,0,0.947
Jose Calderon_101181_New York Knicks_1610612752,0.982,0.917,0.83,0,0,1.289,1.093,1.313,1.047,0
Patrick Patterson_202335_Toronto Raptors_1610612761,1.0,0,0,0.926,0.571,1.01,0,1.2,0,0.939
Zaza Pachulia_2585_Dallas Mavericks_1610612742,1.172,1.025,0,0.969,0.867,0.738,0,1.031,0,0.917
PJ Hairston_203798__1610612766,1.067,0,0.231,0,0,0.787,0.421,0,0.75,0.667
David Lee_101135_Boston Celtics_1610612742,0.727,0.429,0,1.171,0.952,0.667,0,1.209,0,0.963
Luke Babbitt_202337__1610612740,1.196,0.467,1.043,0,0,0.945,1.188,0,1.0,0.909
Mike Dunleavy_2399_Chicago Bulls_1610612741,1.2,0,0.462,0,0,1.078,0.667,1.538,0.744,0
Andrea Bargnani_200745_Brooklyn Nets_1610612751,1.333,0.588,0,0.954,1.0,0.894,0,1.321,0.875,0.81
Jared Dudley_201162_Washington Wizards_1610612764,1.097,0,0,0.951,0,1.11,0,1.366,0.765,1.0
Greivis Vasquez_202349__1610612749,0.588,0,0.55,0,0,0.797,1.214,0,0,0
