PLAYER_NAME,Transition,Isolation,PRBallHandler,PRRollman,Postup,Spotup,Handoff,Cut,OffScreen,OffRebound
DeMarcus Cousins_202326_Sacramento Kings_1610612758,12.64,11.147,1.173,14.827,19.36,16.427,2.507,5.227,2.507,6.987
Stephen Curry_201939_Golden State Warriors_1610612744,20.11,10.005,26.182,0.747,0,9.059,4.729,5.973,14.186,1.593
James Harden_201935_Houston Rockets_1610612745,21.008,24.167,25.875,0,4.782,8.155,3.715,1.665,3.416,1.238
Damian Lillard_203081_Portland Trail Blazers_1610612757,10.49,17.238,42.963,0,0,8.013,6.589,3.11,5.588,0.949
Kevin Durant_201142_Oklahoma City Thunder_1610612760,15.128,14.91,19.006,5.462,8.138,11.032,2.185,3.987,14.145,1.256
Anthony Davis_203076_New Orleans Pelicans_1610612740,8.059,8.69,0,24.667,18.36,13.034,0.981,7.498,6.517,6.447
LeBron James_2544_Cleveland Cavaliers_1610612739,19.45,19.073,21.552,3.61,10.614,6.681,1.886,5.657,2.101,3.61
Carmelo Anthony_2546_New York Knicks_1610612752,8.137,23.689,13.14,1.748,22.242,11.453,2.592,3.134,3.978,4.159
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,23.284,12.451,35.392,0,9.314,6.912,2.304,1.863,0.98,2.99
Paul George_202331_Indiana Pacers_1610612754,16.174,13.997,21.151,1.14,3.37,11.249,5.34,3.681,16.019,1.97
CJ McCollum_203468_Portland Trail Blazers_1610612757,13.097,11.35,37.369,0,0,14.785,7.8,2.212,7.974,1.222
DeMar DeRozan_201942_Toronto Raptors_1610612761,7.911,16.148,32.351,0,8.456,10.638,4.201,1.582,13.584,1.2
John Wall_202322_Washington Wizards_1610612764,23.549,11.161,40.234,0,0.893,12.835,2.511,0.893,1.563,1.004
Klay Thompson_202691_Golden State Warriors_1610612744,17.545,5.022,7.13,0.868,3.658,17.049,3.596,8.431,30.998,1.178
Blake Griffin_201933_Los Angeles Clippers_1610612746,11.083,9.407,5.67,21.005,21.263,13.273,0,5.412,2.706,3.608
Brandon Knight_202688_Phoenix Suns_1610612756,12.861,10.411,42.695,0,0,13.998,7.437,2.362,5.074,1.05
Isaiah Thomas_202738_Boston Celtics_1610612738,22.792,7.961,30.971,0,0,13.304,9.324,1.745,8.561,0.927
Kobe Bryant_977_Los Angeles Lakers_1610612747,9.62,19.91,20.955,0.895,13.646,12.677,6.935,1.79,7.233,1.939
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,13.084,14.299,43.551,0,1.869,10.654,4.299,1.308,4.299,1.402
Kemba Walker_202689_Charlotte Hornets_1610612766,13.795,7.697,46.714,0,0,13.973,5.98,1.954,3.256,1.303
Dwyane Wade_2548_Miami Heat_1610612748,12.763,10.976,34.844,0,10.53,7.275,4.403,5.041,5.552,3.765
Nikola Vucevic_202696_Orlando Magic_1610612753,5.122,7.154,0.894,18.374,28.293,13.415,0.894,9.594,1.545,9.512
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,11.727,10.225,18.891,2.831,12.016,9.879,6.701,5.488,14.5,4.448
Derrick Rose_201565_Chicago Bulls_1610612741,14.595,9.73,43.475,0,0,16.68,3.552,3.475,1.313,2.162
Eric Bledsoe_202339_Phoenix Suns_1610612756,18.732,13.127,38.201,0,1.622,12.242,2.655,1.622,4.425,0
Brook Lopez_201572_Brooklyn Nets_1610612751,3.654,6.578,0,21.196,29.767,8.505,0.731,13.688,1.262,9.9
Reggie Jackson_202704_Detroit Pistons_1610612765,13.217,11.409,55.86,0,0,8.167,2.057,1.06,1.247,1.309
Kyle Lowry_200768_Toronto Raptors_1610612761,16.82,9.761,35.727,0.737,1.842,15.715,5.463,0.675,6.139,1.166
Jimmy Butler_202710_Chicago Bulls_1610612741,12.146,12.291,31.709,0.873,5.673,10.618,5.527,9.164,4.945,2.691
Kawhi Leonard_202695_San Antonio Spurs_1610612759,12.83,11.774,13.66,1.057,12.981,23.472,6.415,4.302,6.566,3.472
Chris Paul_101108__1610612746,12.89,15.246,51.906,0,1.386,6.237,3.257,0,0.901,0.97
